Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry
HSS,HSS3X3X.375,HSS3X3X3/8,F,12.17,3.39,–,–,3,1.95,–,–,–,3,1.95,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,5.6,–,5.6,–,3.78,3.25,2.52,1.06,3.78,3.25,2.52,1.06
HSS,HSS3X3X.313,HSS3X3X5/16,F,10.58,2.94,–,–,3,2.13,–,–,–,3,2.13,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,7.31,–,7.31,–,3.45,2.9,2.3,1.08,3.45,2.9,2.3,1.08
HSS,HSS3X3X.250,HSS3X3X1/4,F,8.81,2.44,–,–,3,2.3,–,–,–,3,2.3,–,–,–,–,–,–,–,0.25,0.233,–,–,–,–,–,–,–,–,–,–,9.88,–,9.88,–,3.02,2.48,2.01,1.11,3.02,2.48,2.01,1.11
HSS,HSS3X3X.188,HSS3X3X3/16,F,6.87,1.89,–,–,3,2.48,–,–,–,3,2.48,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,14.2,–,14.2,–,2.46,1.97,1.64,1.14,2.46,1.97,1.64,1.14
HSS,HSS3X3X.125,HSS3X3X1/8,F,4.75,1.3,–,–,3,2.65,–,–,–,3,2.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,22.9,–,22.9,–,1.78,1.4,1.19,1.17,1.78,1.4,1.19,1.17
HSS,HSS2-1/2X2-1/2X.313,HSS2-1/2X2-1/2X5/16,F,8.45,2.35,–,–,2.5,1.63,–,–,–,2.5,1.63,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,5.59,–,5.59,–,1.82,1.88,1.46,0.88,1.82,1.88,1.46,0.88
HSS,HSS2-1/2X2-1/2X.250,HSS2-1/2X2-1/2X1/4,F,7.11,1.97,–,–,2.5,1.8,–,–,–,2.5,1.8,–,–,–,–,–,–,–,0.25,0.233,–,–,–,–,–,–,–,–,–,–,7.73,–,7.73,–,1.63,1.63,1.3,0.908,1.63,1.63,1.3,0.908
HSS,HSS2-1/2X2-1/2X.188,HSS2-1/2X2-1/2X3/16,F,5.59,1.54,–,–,2.5,1.98,–,–,–,2.5,1.98,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,11.4,–,11.4,–,1.35,1.32,1.08,0.937,1.35,1.32,1.08,0.937
HSS,HSS2-1/2X2-1/2X.125,HSS2-1/2X2-1/2X1/8,F,3.9,1.07,–,–,2.5,2.15,–,–,–,2.5,2.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,18.6,–,18.6,–,0.998,0.947,0.799,0.965,0.998,0.947,0.799,0.965
HSS,HSS2-1/4X2-1/4X.250,HSS2-1/4X2-1/4X1/4,F,6.26,1.74,–,–,2.25,1.55,–,–,–,2.25,1.55,–,–,–,–,–,–,–,0.25,0.233,–,–,–,–,–,–,–,–,–,–,6.66,–,6.66,–,1.13,1.28,1.01,0.806,1.13,1.28,1.01,0.806
HSS,HSS2-1/4X2-1/4X.188,HSS2-1/4X2-1/4X3/16,F,4.96,1.37,–,–,2.25,1.73,–,–,–,2.25,1.73,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,9.93,–,9.93,–,0.953,1.04,0.847,0.835,0.953,1.04,0.847,0.835
HSS,HSS2-1/4X2-1/4X.125,HSS2-1/4X2-1/4X1/8,F,3.48,0.956,–,–,2.25,1.9,–,–,–,2.25,1.9,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,16.4,–,16.4,–,0.712,0.755,0.633,0.863,0.712,0.755,0.633,0.863
HSS,HSS2X2X.250,HSS2X2X1/4,F,5.41,1.51,–,–,2,1.3,–,–,–,2,1.3,–,–,–,–,–,–,–,0.25,0.233,–,–,–,–,–,–,–,–,–,–,5.58,–,5.58,–,0.747,0.964,0.747,0.704,0.747,0.964,0.747,0.704
HSS,HSS2X2X.188,HSS2X2X3/16,F,4.32,1.19,–,–,2,1.48,–,–,–,2,1.48,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,8.49,–,8.49,–,0.641,0.797,0.641,0.733,0.641,0.797,0.641,0.733
HSS,HSS2X2X.125,HSS2X2X1/8,F,3.05,0.84,–,–,2,1.65,–,–,–,2,1.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,14.2,–,14.2,–,0.486,0.584,0.486,0.761,0.486,0.584,0.486,0.761
