,B,C,D,E
max,1098305.9310130742,1004847.6510146043,519502.5361496987,25426.148264375504
count,1000.0,1000.0,1000.0,1000.0
mean,12258.7604025032,195195.77245101292,161903.62205579254,5925.824550655402
std,16166.436742677828,48352.301517575426,50580.71035484127,2809.236396827291
min,0.0,78196.27958537026,27140.797887196928,1175.1223840803573
25%,3066.257809938151,159093.05296975042,125003.59299025054,4093.4859425750465
50%,6532.089752584837,188410.57618623337,160479.3178694586,5287.716538095986
75%,13562.357952097138,225455.4430142061,195834.072698622,7038.23589324433
max,131416.85216313653,394786.5928257496,406273.5059611545,20377.595199804797
count,1000.0,1000.0,1000.0,1000.0
mean,1799.996298288727,146568.05980844004,159244.704885063,5105.679258454551
std,4842.534865200424,35661.39919068546,49994.60486650166,2475.064799890527
min,0.0,72857.12353607823,16076.914553594703,1268.1306069384138
25%,0.0,120742.64739298935,124552.52379845528,3374.393725611284
50%,0.0,142597.14907639037,156337.81394461263,4551.588266765924
75%,1990.9016484838512,167166.44687781282,190686.6231986079,6132.35087606909
max,79319.46247747968,319657.6523314216,354077.00212889054,20292.208012075927
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,366.8451734196917,117878.19338600016,157659.0700018643,7856.949008135529
std,1993.4187907998526,29113.19089591934,50275.53580437319,3764.518103286381
min,0.0,54889.31939820437,12608.230483375075,2494.907632597527
25%,0.0,99376.20386095668,123013.65668535538,5379.895055722099
50%,0.0,114254.3596082004,154750.17246257313,7007.610293164952
75%,0.0,132331.62458520642,190975.65929108823,9397.115177040687
max,41317.13150343544,330574.9753944043,393576.0103718672,46644.050222875645
count,689.0,689.0,689.0,689.0
mean,1147479.1186315275,533701.2620387764,347015.1222604521,6841.906769009952
std,167388.39691852967,72892.23424973781,70039.46239194974,3041.79206321909
min,665176.1988771271,366312.4918707084,181916.56096510723,1796.8566901747201
25%,1027748.132854211,488313.3080822758,297167.3554180566,4705.984395165443
50%,1147793.4951631655,532290.7936727396,343345.3988737744,6237.054725930835
75%,1249267.62040062,567972.1276846665,388775.9466803004,8409.01096795671
max,2294480.1334665543,1424655.0482750342,716358.0502696747,24460.272931789023
count,972.0,972.0,972.0,972.0
mean,439096.5968395744,747512.5350437388,605399.2192280423,7632.6231225077645
std,210944.03043455217,92575.77213528016,133044.04211276278,3397.696567671751
min,78292.11614991674,518619.25823652133,331979.71318708605,2188.369842841235
25%,343171.05105578405,686101.6827942034,518393.83897060505,5313.118303236184
50%,415865.76935001725,744190.5660058584,582210.3070539506,6902.101949917977
75%,500316.67423752195,802897.7939860153,674842.8384338373,9252.592723467013
max,5168279.132423968,1852583.2868798166,1658443.348458278,34607.99259665097
count,1000.0,1000.0,1000.0,1000.0
mean,229.15364596367564,115542.05799129096,108459.87872627286,6266.016298535498
std,1187.8753124074062,25585.564600962392,51160.27716589005,2973.4767460021903
min,0.0,61351.06607476567,0.0,1649.1442920193886
25%,0.0,97560.01833055237,73652.01807112317,4281.804213185638
50%,0.0,112504.11864568619,104648.3922229271,5574.511769900457
75%,0.0,129740.48757798744,142651.8550017471,7570.385796439514
max,22045.407316067198,239791.0019088073,278260.7038802592,21817.204750196357
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,9864.951430852316,191908.0240282174,148639.81673904037,7711.314404467027
std,14333.644640287814,47615.336939071654,50445.78888144281,3413.9013843932366
min,0.0,97033.37150777169,23629.70838365539,2134.0419821647542
25%,2182.2932648437886,158841.20068203946,112375.27781722869,5408.2510905288345
50%,5122.199542085134,183954.12170120524,148050.781152014,6855.608023766914
75%,10604.144122593252,219053.17775661073,182580.72647625665,9301.864400835342
max,123162.16767673222,556412.388843676,356865.75771737314,29688.775915626687
count,1000.0,1000.0,1000.0,1000.0
mean,1187.9662325058123,95489.88163689224,174170.9126838551,7179.2299381687935
std,6136.936147572481,28439.337231014964,50964.15665520438,3364.8331762432063
min,0.0,40086.77071638134,36105.03335518002,2114.1959262638416
25%,0.0,78496.02398967047,137061.66499142285,4895.7310684173135
50%,0.0,92043.79385542287,172040.10920884143,6530.064946743887
75%,382.3198297020046,108155.44511508636,206190.3752569242,8480.285345856737
max,137174.28171827097,477122.7438708361,463943.23072180786,37352.267842713314
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,312.19834707669673,121264.46716562969,172228.73850543905,5349.227118129354
std,1317.353415306159,27601.832231007043,53205.18875606953,2525.587071762801
min,0.0,56097.58319759343,34806.395857809046,1413.068929882935
25%,0.0,100756.14015532605,138293.14610301694,3571.1942460374917
50%,0.0,117565.85124950485,172205.94575616205,4770.156081468265
75%,0.0,137875.83819919912,207080.16915501218,6617.376908999226
max,22031.57091512165,263085.72056277527,427528.38011291006,19042.461556889146
count,985.0,985.0,985.0,985.0
mean,271807.50605595123,315991.7824418192,175176.60299368153,7943.164435340918
std,87441.31709797737,61761.920101564014,52699.01853569308,3800.2974001339444
min,45784.63605780962,183329.25046631167,29459.81738384083,2280.331097676287
25%,208872.87179791596,272137.3955326678,140678.7328909679,5530.638311643581
50%,263692.798531148,314598.0300471779,174041.21557561762,7113.425966963092
75%,325371.03043888544,352839.99220093485,210692.98958975525,9259.754714677167
max,596752.3867155755,681651.8393716657,342261.53979894624,49167.59277556053
count,1000.0,1000.0,1000.0,1000.0
mean,50585.02878561634,335967.7144122781,316766.7563675825,5667.170382889191
std,38627.825571792186,80733.67560845813,70493.11915982491,2726.3658286137247
min,1183.0015777429824,153944.2932830301,130602.43768266382,1417.9474192961543
25%,23947.33415187348,286100.5790864384,266799.51532837935,3786.3760397508822
50%,40551.76438255815,327749.6201489819,312348.26950698433,5157.27794457581
75%,67311.90761399068,375580.92970725585,356107.8816587497,6815.951958733876
max,417238.3499043181,1710860.3915393609,643336.3107695038,27709.30450927108
count,1000.0,1000.0,1000.0,1000.0
mean,122.62527641574584,105642.56413027308,134957.72705581455,7427.2849314007235
std,771.9481920889314,26275.927080869555,49582.06182612517,3400.0967188166205
