,PFA-1-1,PFA-2-1,PFA-3-1,PFA-4-1,PFV-1-1,PFV-2-1,PFV-3-1,PFV-4-1,PID-1-1,PID-2-1,PID-3-1,PFA-1-2,PFA-2-2,PFA-3-2,PFA-4-2,PFV-1-2,PFV-2-2,PFV-3-2,PFV-4-2,PID-1-2,PID-2-2,PID-3-2
Units,g,g,g,g,inps,inps,inps,inps,rad,rad,rad,g,g,g,g,inps,inps,inps,inps,rad,rad,rad
0,1.825367495,1.033980331,0.8942572459999999,1.09801501,51.5004,36.7977,44.9823,53.8656,0.009496154,0.012688462,0.015916667,1.825367495,1.033980331,0.8942572459999999,1.09801501,51.5004,36.7977,44.9823,53.8656,0.009496154,0.012688462,0.015916667
1,0.965652174,0.352210145,0.413436853,0.4008333329999999,73.8233,77.6712,76.4994,76.2436,0.012195513,0.014970513,0.010594231,0.965652174,0.352210145,0.413436853,0.4008333329999999,73.8233,77.6712,76.4994,76.2436,0.012195513,0.014970513,0.010594231
2,1.492580228,0.323638716,0.351444099,0.406187888,49.7024,46.4428,52.2001,55.7793,0.007881731,0.010913333,0.008332692,1.492580228,0.323638716,0.351444099,0.406187888,49.7024,46.4428,52.2001,55.7793,0.007881731,0.010913333,0.008332692
3,1.95922619,0.4288561079999999,0.4365217389999999,0.618408385,48.8597,48.5637,48.0022,52.9264,0.003779808,0.005252949,0.007096474,1.95922619,0.4288561079999999,0.4365217389999999,0.618408385,48.8597,48.5637,48.0022,52.9264,0.003779808,0.005252949,0.007096474
4,2.747515528,1.148574017,1.569836957,1.591583851,85.1638,84.3638,86.0748,87.4642,0.023774359,0.017875,0.0257487179999999,2.747515528,1.148574017,1.569836957,1.591583851,85.1638,84.3638,86.0748,87.4642,0.023774359,0.017875,0.0257487179999999
5,3.105331263,1.249642857,1.02801501,1.022456004,39.2155,41.6404,43.8934,51.3165,0.038919872,0.0305301279999999,0.0311551279999999,3.105331263,1.249642857,1.02801501,1.022456004,39.2155,41.6404,43.8934,51.3165,0.038919872,0.0305301279999999,0.0311551279999999
6,0.448871636,0.121923654,0.1423843169999999,0.22546765,45.0943,46.8429,49.268,51.1134,0.001922436,0.002797436,0.002746154,0.448871636,0.121923654,0.1423843169999999,0.22546765,45.0943,46.8429,49.268,51.1134,0.001922436,0.002797436,0.002746154
7,0.896915114,0.3538354039999999,0.353530021,0.426661491,53.4259,53.1505,51.715,55.6664,0.007533333,0.009909615,0.008070513,0.896915114,0.3538354039999999,0.353530021,0.426661491,53.4259,53.1505,51.715,55.6664,0.007533333,0.009909615,0.008070513
8,1.348757764,0.261863354,0.267142857,0.293884576,80.1427,78.8096,76.5565,74.5082,0.004632692,0.006653846,0.0062730769999999,1.348757764,0.261863354,0.267142857,0.293884576,80.1427,78.8096,76.5565,74.5082,0.004632692,0.006653846,0.0062730769999999
9,4.601086957,1.293240166,0.8616252590000001,1.12621118,60.9223,60.6236,64.3084,68.7252,0.05983141,0.039401282,0.037352564,4.601086957,1.293240166,0.8616252590000001,1.12621118,60.9223,60.6236,64.3084,68.7252,0.05983141,0.039401282,0.037352564
10,0.54259058,0.189749741,0.231767857,0.331990166,54.7635,53.6373,54.9224,58.1117,0.013248718,0.018078205,0.012266026,0.54259058,0.189749741,0.231767857,0.331990166,54.7635,53.6373,54.9224,58.1117,0.013248718,0.018078205,0.012266026
11,0.325967909,0.14610999,0.1698788819999999,0.216867754,35.0761,35.0609,36.6923,38.0529,0.004987179,0.006730769,0.005810897,0.325967909,0.14610999,0.1698788819999999,0.216867754,35.0761,35.0609,36.6923,38.0529,0.004987179,0.006730769,0.005810897
12,0.351260352,0.222785714,0.2092236019999999,0.258493271,67.9437,68.7777,69.1102,68.4424,0.003891667,0.00494359,0.004330769,0.351260352,0.222785714,0.2092236019999999,0.258493271,67.9437,68.7777,69.1102,68.4424,0.003891667,0.00494359,0.004330769
13,2.060137164,0.7962344720000001,0.763848344,0.710491718,62.8597,64.3518,65.79,67.1159,0.010483974,0.012444231,0.013272436,2.060137164,0.7962344720000001,0.763848344,0.710491718,62.8597,64.3518,65.79,67.1159,0.010483974,0.012444231,0.013272436
14,0.675879917,0.2429992239999999,0.303317805,0.356596791,32.2326,33.6203,40.3388,42.2343,0.007219038,0.012609872,0.01109391,0.675879917,0.2429992239999999,0.303317805,0.356596791,32.2326,33.6203,40.3388,42.2343,0.007219038,0.012609872,0.01109391
15,0.664083851,0.136534938,0.167283385,0.357277433,27.3285,28.711,33.8189,39.885,0.006085897,0.009605833,0.0092913459999999,0.664083851,0.136534938,0.167283385,0.357277433,27.3285,28.711,33.8189,39.885,0.006085897,0.009605833,0.0092913459999999
16,3.649068323,1.513100414,1.312595756,1.397867495,54.8424,45.6409,57.3713,61.1721,0.041943654,0.030678205,0.029658333,3.649068323,1.513100414,1.312595756,1.397867495,54.8424,45.6409,57.3713,61.1721,0.041943654,0.030678205,0.029658333
17,0.6899353,0.253645186,0.317380952,0.3169177019999999,71.2364,71.3609,73.4873,75.7679,0.006694231,0.008435897,0.0069378209999999,0.6899353,0.253645186,0.317380952,0.3169177019999999,71.2364,71.3609,73.4873,75.7679,0.006694231,0.008435897,0.0069378209999999
18,2.913017598,1.480665114,1.467329193,1.354725673,43.3148,41.7649,48.5186,61.3848,0.021175,0.022289744,0.0285839739999999,2.913017598,1.480665114,1.467329193,1.354725673,43.3148,41.7649,48.5186,61.3848,0.021175,0.022289744,0.0285839739999999
19,3.072567288,1.489738613,2.199438406,1.700049172,71.9283,61.2242,68.0614,92.4489,0.015315385,0.0161807689999999,0.021469872,3.072567288,1.489738613,2.199438406,1.700049172,71.9283,61.2242,68.0614,92.4489,0.015315385,0.0161807689999999,0.021469872
20,0.357005694,0.130940217,0.16551294,0.236508799,33.6196,37.115,41.6254,45.6944,0.00648141,0.00867359,0.007550449,0.357005694,0.130940217,0.16551294,0.236508799,33.6196,37.115,41.6254,45.6944,0.00648141,0.00867359,0.007550449
21,3.792934783,1.183198758,0.811723602,1.079409938,47.798,49.2636,54.2145,54.2903,0.1140252559999999,0.096624359,0.034854487,3.792934783,1.183198758,0.811723602,1.079409938,47.798,49.2636,54.2145,54.2903,0.1140252559999999,0.096624359,0.034854487
22,0.594257246,0.2127373189999999,0.2232000519999999,0.264596273,60.9356,63.0908,66.0608,69.8899,0.009004487,0.012380769,0.009607051,0.594257246,0.2127373189999999,0.2232000519999999,0.264596273,60.9356,63.0908,66.0608,69.8899,0.009004487,0.012380769,0.009607051
23,0.770372671,0.298084886,0.301788302,0.393074534,49.5333,50.1756,50.638000000000005,56.1989,0.005253205,0.006937179,0.006171795,0.770372671,0.298084886,0.301788302,0.393074534,49.5333,50.1756,50.638000000000005,56.1989,0.005253205,0.006937179,0.006171795
24,3.758514493,1.4555641819999998,1.650113872,1.852864907,44.6736,42.2003,41.4035,52.8062,0.031323462,0.027315385,0.0384615379999999,3.758514493,1.4555641819999998,1.650113872,1.852864907,44.6736,42.2003,41.4035,52.8062,0.031323462,0.027315385,0.0384615379999999
25,4.00621118,2.52614648,2.284089027,2.40625,67.0722,62.126000000000005,63.5156,69.9608,0.039646795,0.039310897,0.039534615,4.00621118,2.52614648,2.284089027,2.40625,67.0722,62.126000000000005,63.5156,69.9608,0.039646795,0.039310897,0.039534615
26,4.364699793,1.712686335,0.880988613,1.077298137,59.4533,64.0185,69.7145,70.1128,0.096503205,0.077669872,0.049730128,4.364699793,1.712686335,0.880988613,1.077298137,59.4533,64.0185,69.7145,70.1128,0.096503205,0.077669872,0.049730128
27,1.4770652169999998,0.200015528,0.187888716,0.254207557,30.8858,30.6236,34.2666,42.2072,0.006854596,0.00883109,0.008004103,1.4770652169999998,0.200015528,0.187888716,0.254207557,30.8858,30.6236,34.2666,42.2072,0.006854596,0.00883109,0.008004103
28,0.916048137,0.322432712,0.281560559,0.397779503,74.2523,75.3717,74.8972,78.0047,0.012444872,0.017461538,0.013160897,0.916048137,0.322432712,0.281560559,0.397779503,74.2523,75.3717,74.8972,78.0047,0.012444872,0.017461538,0.013160897
29,1.690235507,0.811733954,0.85248706,0.970331263,35.7671,33.6104,38.4697,43.037,0.01925641,0.01691859,0.015689744,1.690235507,0.811733954,0.85248706,0.970331263,35.7671,33.6104,38.4697,43.037,0.01925641,0.01691859,0.015689744
30,0.5154994820000001,0.188030797,0.217104555,0.270106108,54.5733,55.2926,55.3133,56.3795,0.005846154,0.008042949,0.0066,0.5154994820000001,0.188030797,0.217104555,0.270106108,54.5733,55.2926,55.3133,56.3795,0.005846154,0.008042949,0.0066
31,0.953522257,0.284218427,0.332849379,0.462259317,99.3627,99.3539,96.2386,94.7498,0.011302564,0.014298718,0.011535256,0.953522257,0.284218427,0.332849379,0.462259317,99.3627,99.3539,96.2386,94.7498,0.011302564,0.014298718,0.011535256
32,1.997440476,0.3470263979999999,0.457375776,0.4399171839999999,61.6731,65.9882,70.9614,72.8245,0.009126923,0.012605769,0.009969231,1.997440476,0.3470263979999999,0.457375776,0.4399171839999999,61.6731,65.9882,70.9614,72.8245,0.009126923,0.012605769,0.009969231
33,1.177639752,0.267277433,0.274831781,0.580144928,48.7574,52.4178,59.2268,64.0867,0.0072355769999999,0.011251923,0.011959615,1.177639752,0.267277433,0.274831781,0.580144928,48.7574,52.4178,59.2268,64.0867,0.0072355769999999,0.011251923,0.011959615
34,0.65050207,0.2415103519999999,0.27385352,0.416009317,64.068,71.2521,79.1722,82.6658,0.006494231,0.009663462,0.009762179,0.65050207,0.2415103519999999,0.27385352,0.416009317,64.068,71.2521,79.1722,82.6658,0.006494231,0.009663462,0.009762179
35,1.892199793,0.282334369,0.2976578669999999,0.3654270189999999,52.5535,51.0707,51.0888,55.3836,0.003521154,0.0048091029999999,0.004991154,1.892199793,0.282334369,0.2976578669999999,0.3654270189999999,52.5535,51.0707,51.0888,55.3836,0.003521154,0.0048091029999999,0.004991154
36,2.075015528,0.62630176,0.4969798139999999,0.602580228,55.901,54.5271,53.1882,57.0314,0.008573718,0.012242949,0.0123134619999999,2.075015528,0.62630176,0.4969798139999999,0.602580228,55.901,54.5271,53.1882,57.0314,0.008573718,0.012242949,0.0123134619999999
37,1.36639234,0.34947205,0.377458592,0.507215321,77.2694,79.4556,81.3424,83.1921,0.009494231,0.012220513,0.011226923,1.36639234,0.34947205,0.377458592,0.507215321,77.2694,79.4556,81.3424,83.1921,0.009494231,0.012220513,0.011226923
38,0.5602924429999999,0.145776656,0.215996636,0.337831263,41.8028,43.1688,45.6017,44.8779,0.008784615,0.012144231,0.010492308,0.5602924429999999,0.145776656,0.215996636,0.337831263,41.8028,43.1688,45.6017,44.8779,0.008784615,0.012144231,0.010492308
39,0.408480849,0.197486025,0.184001553,0.322647516,49.7702,51.0664,52.4036,59.4325,0.008270513,0.012800641,0.010674359,0.408480849,0.197486025,0.184001553,0.322647516,49.7702,51.0664,52.4036,59.4325,0.008270513,0.012800641,0.010674359
40,1.912800207,0.7425647,0.8260973079999999,0.819223602,48.8289,43.0433,43.1316,57.0148,0.016220513,0.021119231,0.020973718,1.912800207,0.7425647,0.8260973079999999,0.819223602,48.8289,43.0433,43.1316,57.0148,0.016220513,0.021119231,0.020973718
41,2.131322464,0.898354037,0.6982789859999999,0.624171843,36.2095,39.1567,43.8132,49.0264,0.05953141,0.048392949,0.024091026,2.131322464,0.898354037,0.6982789859999999,0.624171843,36.2095,39.1567,43.8132,49.0264,0.05953141,0.048392949,0.024091026
42,0.495434783,0.23473266,0.242808489,0.320069876,48.1044,48.5985,53.4555,56.3261,0.007880128,0.010571154,0.008955128,0.495434783,0.23473266,0.242808489,0.320069876,48.1044,48.5985,53.4555,56.3261,0.007880128,0.010571154,0.008955128
43,1.488335921,0.280714286,0.341203416,0.423791408,55.5621,49.0221,45.4694,52.873000000000005,0.00495609,0.007798718,0.008882051,1.488335921,0.280714286,0.341203416,0.423791408,55.5621,49.0221,45.4694,52.873000000000005,0.00495609,0.007798718,0.008882051
44,2.629270186,1.257877847,1.3703183230000002,1.01693323,53.3546,45.2919,52.2137,64.4882,0.011670641,0.014532179,0.017865321,2.629270186,1.257877847,1.3703183230000002,1.01693323,53.3546,45.2919,52.2137,64.4882,0.011670641,0.014532179,0.017865321
45,1.402787267,0.2034430639999999,0.246968944,0.292701863,40.8185,38.3438,37.8725,40.5757,0.003899487,0.00580109,0.005687308,1.402787267,0.2034430639999999,0.246968944,0.292701863,40.8185,38.3438,37.8725,40.5757,0.003899487,0.00580109,0.005687308
