,B,C,D,E
max,1654.5747001404861,106980.19760840914,297288.8629817189,24299.694346160566
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,15742.271603301026,45049.75715908844,7832.752616758235
std,0.0,8034.093217999807,41396.11329493211,3680.0029384266404
min,0.0,1814.3489708445597,0.0,2429.211428836272
25%,0.0,10190.434538616293,1059.3854014849267,5469.943436814589
50%,0.0,14642.31805095103,41308.544029098266,6998.976920819239
75%,0.0,19712.93115186243,72933.89649124691,9233.683443209844
max,0.0,107057.07634720208,220202.89739631122,33115.91734557815
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,987.0,987.0,987.0,987.0
mean,368830.68117278954,763694.623479913,626553.7199936915,7375.853547000848
std,150121.74973612736,85318.76467187752,127660.60460269454,3167.6633170349833
min,75772.8763834066,501628.85278504016,365042.3089266585,2123.132654506171
25%,276498.39236337726,701782.4565860509,539565.1352623958,5175.957560953513
50%,349131.4592108459,755967.9415263549,607364.0259647932,6764.946373956955
75%,433415.658026799,818696.6833444631,687654.2520844227,8765.869959974763
max,1665582.5457495581,1252321.2163434748,1496512.9709967878,25468.851277474398
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,41426.32185279011,10431.818753864989,5498.381583739614
std,0.0,10634.191658860052,22567.13042355319,2777.173742302012
min,0.0,15759.889482702372,0.0,1189.0425927057381
25%,0.0,33946.01611746797,0.0,3578.304576299226
50%,0.0,40455.13950072028,0.0,4915.797636027853
75%,0.0,47801.08780286608,1023.3367826236195,6667.772620796886
max,0.0,82521.35437681248,128843.48033309472,23915.873072469087
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,44021.77679284834,34642.571318542374,7207.588194925955
std,0.0,11552.346995369933,39732.99355800205,3269.858192959633
min,0.0,14124.405829476575,0.0,1914.3014360280094
25%,0.0,36441.50295638363,0.0,4946.755581068938
50%,0.0,42817.698936579254,28956.1226429842,6501.80652337975
75%,0.0,51428.72237557513,56510.489142304265,8791.650979343964
max,0.0,120263.31330968038,235911.1427250909,29968.956804343896
count,994.0,994.0,994.0,994.0
mean,191907.66991138397,441971.60757736803,418389.08870353823,7408.368880479658
std,94023.89196700047,77429.7516883562,84135.05032280547,3254.496535738187
min,27566.619307529218,244231.26478258634,209782.33100816916,2040.0128685466343
25%,129758.33461903641,389000.9391854546,361257.34712285246,5120.019742861843
50%,176337.19461961737,435977.002468657,410728.986321939,6804.750193371649
75%,240083.82772290992,486297.29485405085,464141.9473551564,8971.724243440725
max,1188216.3800435727,1256691.401512275,1001682.7740809632,30221.846099856743
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,47080.77265463471,64215.84190932444,5863.223132072713
std,0.0,12669.332529122004,42739.822826174466,2722.0481496799043
min,0.0,12738.68398553005,0.0,1739.0922315157839
25%,0.0,38847.719169009986,33539.74879774985,3965.421067738214
50%,0.0,45785.72438778818,59726.43931228366,5275.15351618436
75%,0.0,54027.22986039797,92169.87119082356,6997.412703734355
max,0.0,129854.33785233466,211149.49907104843,20981.014633662322
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,11410.595080719331,190935.80119334758,230824.8436324862,5606.850332180774
std,19466.80770554898,51318.29125605526,54061.612923193534,2699.96070436023
min,0.0,83014.26021252989,79169.97984795494,1382.331486859849
25%,2089.7566694928432,155947.27624627663,192583.05019964257,3762.4817785957016
50%,5414.830296234902,185112.48867390363,229635.49963914638,5101.813570991644
75%,12469.40553597626,215331.09057545653,263775.06280715414,6734.003128603015
max,315593.90759564535,634557.6654995292,443115.79565926164,28650.872660646695
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,14731.767088550992,24841.7360295095,7040.0353604708
std,0.0,6903.223473341115,35564.95535085784,3181.924333591855
min,0.0,1302.5001229136683,0.0,1838.6358395185714
25%,0.0,9623.946090183417,0.0,4820.738527265514
50%,0.0,13867.832207762982,921.7573436302303,6347.273293537728
75%,0.0,19115.938838848262,47381.35588645155,8389.12566999723
max,0.0,49816.46926535539,193812.4237764867,25216.039732877547
count,1000.0,1000.0,1000.0,1000.0
mean,1.2613976083704614,53046.01447744067,79460.55054414898,7990.485977042438
std,28.19185583117323,12839.342918520364,46527.784869864394,3545.267555623997
min,0.0,22906.163860028202,0.0,2404.04888672788
25%,0.0,44155.40454309057,47877.28919867115,5696.329867188433
50%,0.0,51748.71372058938,75127.77002003131,7293.397316653602
75%,0.0,60613.06626679355,106073.35708520925,9403.840824250958
max,633.4479127216041,105778.07353522065,260848.53957940303,36868.13730033909
count,1000.0,1000.0,1000.0,1000.0
mean,3.4211911088337774,44718.50178506295,135913.9400806192,7695.184910621984
std,108.18756214631735,18718.683720410056,50069.535929300655,3425.5027815261046
min,0.0,17305.66046539787,7841.2028189038565,1952.468223410909
25%,0.0,35818.91026469058,99890.8527835425,5343.089494126185
50%,0.0,42574.512094783044,134538.84509268432,7035.195342380508
75%,0.0,50581.422386443795,169989.5147820611,9015.03697318049
max,3421.1911088337774,404601.54776612204,327139.6536095324,27827.938532953463
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,31596.422570699982,41305.86260715333,7721.83306289611
std,0.0,9311.773577480073,41771.10028240073,3415.5706228047584
min,0.0,10093.106951741638,0.0,2033.0162343796958
25%,0.0,24943.275604878138,979.3069482990355,5310.168229971557
50%,0.0,31309.041933429224,37521.81569312173,6995.137216800058
75%,0.0,37139.45018995702,65158.928900659834,9184.034433385132
max,0.0,121852.17893943522,212043.63556147658,26266.780761743445
count,1000.0,1000.0,1000.0,1000.0
mean,1.4398242538517558,25252.930324933983,123813.15022959728,6813.459440854006
std,27.021727617683844,9917.292136388582,50307.175627477234,3002.115971475929
