,B,C,D,E
75%,0.0,55779.83993220348,232072.0805377806,8120.868917620761
max,25231.001776541874,378381.0183553229,410616.8534949455,41093.27398630854
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,953.0,953.0,953.0,953.0
mean,516068.64762966626,621659.0520106981,491492.20587342407,8118.326193306388
std,137390.59728753622,78120.66901302735,100164.19968942857,3646.245323457032
min,210446.49767944592,394419.71349379816,248008.5146633969,1980.8675073067916
25%,435573.7675195349,572909.8364867739,423930.3751814777,5706.161704683175
50%,500114.8481509329,619749.691092876,483290.24107954395,7315.230567217359
75%,583124.9714040074,665421.537204191,542735.6550060643,9649.81382045861
max,2588864.1852676542,1046959.1910520705,1047977.745997986,35143.10290724894
count,1000.0,1000.0,1000.0,1000.0
mean,30132.2988112918,241933.57687468818,245147.3146767956,6518.245186742582
std,29750.20081651708,64445.0655843793,56249.08826723941,2910.622629321753
min,0.0,117654.83050430044,88449.60611387902,1439.9344670025594
25%,10863.212174090348,198527.26380473495,205636.31893239045,4487.790306478205
50%,19975.463132622128,232528.56769729732,242135.02462181708,5940.987363197864
75%,40148.568898623635,276070.73670201015,281169.670324484,7897.337216821663
max,325212.2485911,841391.5521474777,411106.3338323515,25088.54245039986
count,913.0,913.0,913.0,913.0
mean,671315.655048473,439281.33979430055,286036.07701753266,7541.829867625449
std,141433.69162425128,65040.60150844517,62999.707247193495,3429.7924445892795
min,294294.4239417204,271037.43414222804,112340.7374374404,1861.4391761460945
25%,576339.0273309908,397533.2800666926,243622.7657392415,5269.743242312722
50%,666922.12980486,436408.9984635668,281109.19258582,6781.905790163413
75%,747653.6540381719,478798.4718076715,321794.87346918415,9085.637621393858
max,2485774.716191543,816967.7974891681,534353.40459476,32794.022485629815
count,1000.0,1000.0,1000.0,1000.0
mean,1574.2613190297511,121419.32518996228,216417.05550249768,8054.103355551382
std,5974.481125155339,31163.601687171482,51161.52310293457,3423.699956120557
min,0.0,65016.30481365258,92593.97289522218,2182.261395213377
25%,0.0,99594.22389051889,180364.1220059329,5714.635728253931
50%,0.0,116693.2551517936,214493.61413001252,7351.785293342155
75%,810.4790448071018,137384.95527155529,249056.78566658334,9414.649789303745
max,80027.55759469274,297341.09658783127,414155.4820121056,30211.61433976143
count,1000.0,1000.0,1000.0,1000.0
mean,12263.083832288408,197625.64385151427,219132.78938995287,8036.787261670678
std,17580.955101770887,49164.94523755913,52333.07056323229,3641.9987852485087
min,0.0,97803.55601693726,65442.976474691495,2444.1851335965275
25%,3262.7051623796688,163746.4862327723,183602.56417288617,5554.2738219512385
50%,6965.984176852598,190512.5253235353,217159.02415480962,7290.358765655614
75%,13540.041888634514,223896.73908386883,252918.0927689573,9576.812462081516
max,246207.95483813164,446199.5091126508,438332.57845724036,35590.20033891046
count,8.0,8.0,8.0,8.0
mean,1980598.6264422946,546811.6295044654,398452.5518936168,8758.664394626032
std,184746.41064127052,43401.181471033524,54874.372181959625,2343.933584617877
min,1574454.191880705,462895.4989937963,284812.9678005129,5839.508283829304
25%,1948766.7671296834,524535.5737559276,388716.15224120393,7594.163024282969
50%,2024936.272032579,558499.9966952677,408133.3007337932,8835.334431770101
75%,2073747.059471706,582052.801311119,428150.456667601,9312.613093739292
max,2189966.071898494,586985.869338542,468408.3306248776,13527.0525689416
count,1000.0,1000.0,1000.0,1000.0
mean,36763.8850194259,227554.53869547808,293275.1719669346,6207.581394734673
std,56280.79545419923,58550.90720811924,60806.110693695795,2967.0546823218247
min,111.59954070073866,121206.63575442685,131480.29129544407,1518.3235919175513
25%,10126.533604339076,189424.49562753114,248556.040120644,4282.430507811514
50%,19917.51209902764,217975.7388477389,288002.5749008787,5594.1735929961105
75%,44368.87931359006,256196.8117507536,332693.7994171368,7433.215295669745
max,1126479.1373986613,806281.4120466794,564199.3091815143,31709.504924207136
count,1000.0,1000.0,1000.0,1000.0
mean,9091.55223463341,184196.89038247525,175503.3108815992,7362.656626601322
std,12993.70366771163,45198.311367343464,52937.70086915943,3316.1940587253907
min,0.0,85030.82035530689,31798.16538713011,1803.2846578700642
25%,1919.7326695350762,152170.12793685758,138790.99196841454,5126.791921659549
50%,4762.455772644025,178908.0544209369,173872.19643830866,6545.386030418828
75%,9706.841561688765,207698.5769439025,208276.480316708,8878.126126012692
max,98602.86486425769,446252.7047279843,375546.11478197004,27994.321232622744
count,1000.0,1000.0,1000.0,1000.0
mean,628.1055922443609,132141.76741064095,151111.55069309296,6709.1843927833215
std,2330.7342120843746,31119.335232109694,51646.00459751794,3122.8281896644025
min,0.0,71269.46685465274,16566.576456272636,1495.4401592312747
25%,0.0,108428.81764402924,114665.89303591769,4672.619152806558
50%,0.0,128464.80482790398,149769.06656223064,5992.451840062251
75%,0.0,150607.17014887708,185712.45499561276,8041.568574443534
max,31445.30212333774,263622.19365800126,356774.6789037199,26839.05596208119
count,1000.0,1000.0,1000.0,1000.0
mean,2221.225424649949,138798.2296321482,217100.0790986916,8087.834250404219
std,7928.541388796546,34933.33869669457,51580.36838521807,3475.1486318681727
min,0.0,61228.01031432655,57459.90573555094,2388.124161096367
25%,0.0,114127.94620380562,180187.0483897925,5680.668260757433
50%,67.79462589008827,134238.17577629953,214789.52673844917,7282.2587965515995
75%,1889.8312974968514,158453.13716241764,249723.52269229395,9667.904940927514
max,137322.00569209323,314395.3698482818,397403.43664657284,29757.040855079606
count,1000.0,1000.0,1000.0,1000.0
mean,23288.762655820497,208802.0047302329,172011.27819154673,7852.30204879212
std,23357.528633189184,54119.95561886415,52244.64968903055,3461.6997497504317
min,0.0,89274.4610388735,32823.09040803883,2152.5792399783863
25%,6610.567790004843,168406.85738365076,135064.87540245388,5364.144664426692
50%,14232.141266671832,200639.32199708745,171149.00273360795,7100.836618195268
75%,32244.666660905656,238738.72243782267,208349.94048392726,9452.44498911149
max,160123.64112455328,476318.2986988768,367259.8796483888,31959.824942707448
count,1000.0,1000.0,1000.0,1000.0
mean,15772.691935222123,84271.18421036893,242898.3712664188,8050.495208441146
std,28289.956982369014,31093.518514945084,52540.071346882505,3447.3247580776783
min,0.0,35824.92236419362,98273.4039354874,2339.8585781354964
25%,2380.567885449588,66383.07039617198,205753.8410287069,5700.321490605573
50%,6442.495712064074,78404.18746996621,240573.5588244173,7406.592081471006
75%,16586.12992707956,94592.74796138387,277490.5747459947,9434.584321866734
max,367828.5808137886,451518.5878154522,420116.8938135214,31816.573515978434
count,743.0,743.0,743.0,743.0
mean,1194421.457199363,885258.2148750621,637431.3360285592,7782.281880514448
std,238480.96148989187,91731.76694569139,136150.81160708482,3329.0800220150054
min,686272.4422569725,662174.9313576664,338973.179146283,2071.8387063048203
25%,1056816.6980434416,825216.153387211,546770.4185038023,5421.918953386517
50%,1172085.5381540162,881086.2414043252,614827.0135772256,7135.916912418723
75%,1298053.1535277818,938015.8307188316,706654.9714246527,9385.27481994245
max,4682500.738195022,1798474.2202929528,1213145.181336532,29894.801423241955
count,1000.0,1000.0,1000.0,1000.0
mean,6563.456769946605,169533.37927681045,224135.65363389355,7995.061921834217
std,14287.82916254545,58399.330497776435,52541.213362732145,3501.96866768232
min,0.0,75718.33717551417,53294.3469744603,2305.610079878551
25%,689.6535400999687,138857.32236125218,188214.30546792177,5645.0481942150545
50%,2725.8534493940974,163439.5877584621,222035.03427922388,7283.018662149174
75%,6498.379359762343,189089.5509172636,257454.9939738192,9520.323262787522
max,248578.96731273498,1045283.4020107831,402011.33226638247,34405.92139445746
count,1000.0,1000.0,1000.0,1000.0
mean,11.484272962858581,73439.90946083516,107623.52052446234,6673.28934658832
std,160.41441400554348,17684.101816176644,49768.676937614706,2930.1844826590323
min,0.0,27913.699853353144,0.0,1567.6288090163691
25%,0.0,61212.21434605034,73530.0916761737,4567.500139716602
50%,0.0,70897.01376766348,104733.13766040653,6116.302574442472
75%,0.0,84033.2699224597,141021.0405914918,7971.236393880776
max,4018.9892256827475,170073.45972120375,259514.16349043848,21836.82059091011
count,1000.0,1000.0,1000.0,1000.0
mean,8317.876876839322,176745.08592715557,195319.68356990698,7921.929711229518
std,16144.637422672704,44632.12604279723,53596.54854852347,3421.774242427232
min,0.0,84281.14505878548,21760.1476695654,2557.683131155067
25%,1390.8815182648202,145563.35645779234,159403.417817714,5608.737537084143
50%,3977.432496493425,170259.1907033112,192054.54458792458,7307.9437463969525
75%,8630.756595725312,200411.63609599601,230138.45880072124,9380.55015961703
max,311387.151614439,433652.8439701028,373443.32810150017,29483.721299518176
count,990.0,990.0,990.0,990.0
mean,252460.9036074661,320098.0560650467,239508.34987251097,7117.680868580236
std,86394.78389915978,67668.47628213934,55303.364924307796,3333.298050586551
min,38797.26980741918,170549.51138212383,92081.58106060616,2129.2807054262025
25%,190710.6761167203,273897.83313455764,203593.73472081812,4783.488806375485
50%,245461.36856115353,315688.6734162811,235522.33738998056,6451.318661943544
75%,302698.15376378765,360658.50494325825,278555.3943158763,8713.476403155433
max,721442.8596459369,681522.9640326985,421914.2240740674,28128.582238475243
count,1000.0,1000.0,1000.0,1000.0
mean,2484.1791323587595,145267.6983579754,166678.8082826518,6927.632322332801
std,7066.674576461111,41766.876634273096,48811.04786209516,3211.2284919889603
min,0.0,77605.65657572576,41664.32395221153,1649.951485463116
25%,0.0,120147.26022113493,131328.33347082764,4706.817579698638
50%,401.29888233828365,140223.63603015197,163515.40973677178,6224.123734951992
75%,2419.6765099883633,163444.56761104398,199715.94781391168,8416.226237787367
max,118136.4820889394,853154.4612496982,422124.01726234285,30339.49796855993
count,1000.0,1000.0,1000.0,1000.0
mean,24633.478681874603,221616.58931042987,206571.18421054207,7730.528850159187
std,23960.605882533993,56409.49426705859,52917.76193442266,3427.2082716113405
min,0.0,94367.21144793165,34194.67776282146,2250.5301292206036
25%,8464.954536280147,178953.1006266529,170480.17582618303,5443.854076935973
50%,15515.723554171896,215089.9835558543,203486.80663239816,7042.005263260827
75%,33301.502431384906,253648.0061102215,243145.85866099555,9251.861871110903
max,216681.22734652925,488607.4545212161,397197.66614743904,32420.47020781785
count,1000.0,1000.0,1000.0,1000.0
mean,64.3545490171855,99161.48185436918,134044.17444456954,7776.730330434658
std,590.3785014976442,24523.749853144687,53498.79319290058,3402.6019029769736
min,0.0,38930.75924345365,3385.8791046776078,2418.1385705018097
25%,0.0,82581.2917688494,99001.98356612233,5483.987476066943
50%,0.0,96546.899735452,132302.46713763132,7079.761635281755
75%,0.0,112334.13162072697,168221.05411647842,9388.362068248065
max,13874.097753723654,270182.92856298294,358646.2664966842,38127.22175245604
count,930.0,930.0,930.0,930.0
mean,591295.9596441097,467060.8711997003,354639.69956755626,7466.712548911972
std,141884.1212303825,69284.38870711491,70080.28846625805,3404.7151492767084
min,274214.6884638981,284970.59758569894,174179.76838641812,1861.4391761460945
25%,501360.04775131354,420866.57812592824,307865.0403770192,5177.047752376693
50%,577372.3982661527,462764.832952932,350544.24238785077,6666.500716200018
75%,663712.1560988354,504181.89409673936,399656.83319899545,9014.792888487656
max,2620994.5303648976,872597.2162582449,613268.9696182356,32786.14277513046
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,7.80989460585156,54116.19830810256,121879.80085003791,5389.262918576333
std,148.4356254066231,14803.934622818782,51036.783873755616,2769.5769757449584
min,0.0,20199.43062127128,687.846083913744,1078.080489913172
25%,0.0,44456.03385663259,86684.50823142429,3637.01885067327
50%,0.0,52868.855961567126,117455.65774639978,4759.092141294945
75%,0.0,61630.983231905964,156409.79013192243,6448.128907837216
max,4407.885279634718,234819.12797134698,451038.957082632,33684.237596996936
count,1000.0,1000.0,1000.0,1000.0
mean,1594.572022500735,140299.17282570928,136887.89356540603,7683.61161320262
std,4508.209757473984,34594.79478088798,50307.4637360703,3454.2257125281717
min,0.0,68984.32618295761,3180.1703731316093,2188.620381010326
25%,0.0,114768.32820652067,101875.63928006943,5243.982090816643
50%,0.0,135211.46997583262,136357.302801174,7057.970104233849
75%,1897.4219937837922,160992.87532324257,168395.5454071438,9287.583912735558
max,80180.06244549717,307630.5945968117,307379.2468550732,33350.81976251846
count,1000.0,1000.0,1000.0,1000.0
mean,411.58311556340686,116219.6176272315,56941.116736435964,6901.73489650175
std,1646.10125588285,26942.581654464706,43363.38216558468,3210.6281392139026
min,0.0,61436.365310085166,0.0,2023.597289102951
25%,0.0,96775.54738782278,26481.97111221538,4790.484462429476
50%,0.0,112704.72707317647,53324.025096713216,6285.021717563612
75%,0.0,130790.28982690623,83543.59262284427,8248.18500334548
max,28876.12538424568,231705.06443887256,249857.28822573,41093.27398630854
count,1000.0,1000.0,1000.0,1000.0
mean,8.06797108637893,54621.36354910015,138017.22291424221,7883.624492423037
std,156.1127142639142,20726.760364444053,53154.39126276851,3664.394178214618
min,0.0,21551.981011234413,3807.0758967613074,2292.3392329623944
25%,0.0,44204.04325987738,99596.55308862939,5498.774597725779
50%,0.0,52669.050287506165,135658.06903791515,7250.680135009505
75%,0.0,61022.32877902862,173789.31371255103,9375.683985828615
max,4665.688324151337,523922.37393411266,342696.9091443273,52989.897940335606
count,1000.0,1000.0,1000.0,1000.0
mean,5663.003243366592,168298.29709445487,201293.21774232437,7795.977466607441
std,11925.274226150781,40878.80121422285,53665.63236487353,3277.3405509893923
min,0.0,84543.98613973298,55113.17666264713,2126.7936078605653
25%,0.0,138840.6948125403,165419.6321275627,5424.246977668944
50%,2321.3511846843744,164507.35455709533,202873.06418018707,7153.4427025628665
75%,5597.961517634464,192250.6095062982,234078.6438643015,9388.641951335732
max,168281.1796594567,405292.4484702124,478065.3883507394,30742.072230445363
count,1000.0,1000.0,1000.0,1000.0
mean,109336.55475168394,369118.73660498054,370687.97057515645,7252.3093022535195
std,102132.90943199265,75672.81361987942,72115.73276408484,3221.569924014223
min,7079.904802271405,191681.5805843491,187304.36669133606,1928.8531991007849
25%,54131.026627101215,318384.36518425285,321023.2858022811,4997.290775062692
50%,87285.33801674606,360002.4091457686,365228.02076607355,6691.136620061659
75%,135722.9276376741,412928.86367083277,414433.1601438625,8679.405212804522
max,1933169.626694079,884020.3670967824,632141.145959068,29620.3385030745
count,1000.0,1000.0,1000.0,1000.0
mean,8335.231018431217,184831.3738714762,202599.3003457219,8040.145909115367
std,14445.432009929247,45379.29539239767,53616.63899339586,3526.919404714578
min,0.0,97054.7136634446,65200.89750058771,2556.250438768557
25%,1588.05283104326,153116.6009277529,164303.2304377308,5646.1291060993435
50%,4289.683752670627,177696.8619165257,201684.59332829458,7295.623334818429
75%,8702.70376558225,210397.84084860663,234625.84695575657,9593.112237429046
max,246827.09282678075,411741.14575008705,401702.7692239372,34596.29911367761
count,1000.0,1000.0,1000.0,1000.0
mean,5422.977169981071,162714.32252676558,199471.39993307833,7909.697933544804
std,11274.092431997486,46007.688194289156,52395.99893965993,3494.132858941178
min,0.0,73105.68037680033,45309.43808614851,2556.250438768557
25%,398.56044893167234,133658.8948420664,163837.73555699422,5484.643772599194
50%,2090.0403128697417,154066.8550611155,196660.1964245573,7209.830903717199
75%,5649.892679257216,183296.7712466162,234320.8135076435,9471.750596313588
max,155969.89556875709,520857.4723029918,399551.46758422116,34374.21914393951
count,972.0,972.0,972.0,972.0
mean,462952.6860397697,566140.7971888629,455592.8933725893,6912.900665646573
std,147762.26975362454,76615.05203606603,91913.22927162242,3224.007536723456
min,139261.8296294932,346479.733587701,252921.4340913357,1704.808479055364
25%,383564.8647213098,514873.7891722342,394761.60884108045,4762.683979759783
50%,451378.6895411338,562179.7544014135,444989.02585124807,6244.287160217452
75%,518372.2222201786,611809.9991382163,510075.539172435,8275.719951452735
max,3172510.6032990697,1022174.0893691011,1105726.3324804066,29560.997688952404
count,1000.0,1000.0,1000.0,1000.0
mean,451.9798253606255,120233.12033222729,145031.64585841424,6382.223907464089
std,1703.3736329329554,27927.442461720435,51801.40047084823,2937.2924267349244
min,0.0,60721.814441079216,14183.928819996778,1397.9132502551338
25%,0.0,99916.07879486657,110258.04634476003,4296.635901687566
50%,0.0,116175.1779160539,144128.13761658483,5885.002980733541
75%,0.0,137044.93259197677,178391.06709760052,7729.965614216531
max,28778.288241280494,257682.94524564224,372074.48126615246,22341.34572418454
count,1000.0,1000.0,1000.0,1000.0
mean,2429.792307395751,147921.23649460397,159817.35549816905,7199.862014155073
std,6957.376417832908,39770.89449922808,49520.37754158106,3211.0575193297464
min,0.0,73813.07306191933,28967.269685830255,1757.9372201789413
25%,0.0,120219.3848600468,125050.45729420033,4965.061614983979
50%,51.95622359019205,142783.04308888808,158240.25017085538,6507.929302558718
75%,2416.1116753007727,168200.3405741541,192181.25213488267,8480.57204548055
max,112465.06859386443,647136.956140007,320312.99647882744,28185.254343196422
count,1000.0,1000.0,1000.0,1000.0
mean,1106.590124225766,132136.17500813698,212954.74480596857,8083.356677962474
std,4304.829656637437,35144.38820558669,50717.03347566518,3474.974560214638
min,0.0,63664.82273687422,67604.96110461374,2388.124161096367
25%,0.0,109383.45052659335,179044.631362547,5680.668260757433
50%,0.0,126242.71654637312,211826.34150029262,7282.2587965515995
75%,464.91325753372575,148256.15981014693,244886.92412929257,9663.463296603866
max,85115.30341595595,488370.5503427754,487835.79026462557,29757.040855079606
count,1000.0,1000.0,1000.0,1000.0
mean,44.087170239060534,77318.75932868393,176598.0094787091,4889.422798415756
std,386.43721862831416,21048.959713414035,52971.60398003563,2511.0704877423054
min,0.0,36100.113098886926,29530.986458202075,1246.3926514394261
25%,0.0,63508.08624139783,140975.67667522386,3246.571080333249
50%,0.0,74275.85377285976,176396.9745064142,4339.448304600747
75%,0.0,88155.65565446267,211789.2660957059,5926.076496349346
max,6664.918218837443,296176.65035544714,415629.9928953084,24129.641172983545
count,1000.0,1000.0,1000.0,1000.0
mean,23442.80798245146,221197.51312564083,227413.24130491097,7916.933591140769
std,26331.238523893502,55960.894859550936,51742.38776348428,3505.7373487210775
min,0.0,107005.02003978819,81428.50750943115,2513.05558125899
25%,8025.909978167384,181452.85010100814,190961.0776208431,5556.207203035638
50%,14448.203011486843,211450.85365639202,226119.00502116443,7200.809060658218
75%,30290.293380582483,253067.33160694776,261170.65793430153,9332.06350338511
max,377642.6991460168,472812.7613228224,468779.1991473892,32012.35827821549
count,1000.0,1000.0,1000.0,1000.0
mean,276.16745623621733,116154.66189115854,137662.11086240166,5687.401586871114
std,1394.0743404853126,25052.6500810834,50055.334660321256,2747.477909401775
min,0.0,59196.8920817705,3176.917966556677,1456.0974255460812
25%,0.0,98533.51882195659,101865.22998721452,3829.9757174683828
50%,0.0,113297.16875668646,135501.83728635323,5057.467925150566
75%,0.0,129967.42170035031,168490.1273614157,6856.746350426834
max,22984.7472486272,237324.17286693768,370476.46990594355,21577.32222627131
count,165.0,165.0,165.0,165.0
mean,1469965.1524660375,540040.7938248537,358386.88323275413,7475.749522347725
std,218417.99302154675,57832.08583259388,78823.9762374645,3103.024034278384
min,1054227.9423481827,420344.7302039528,209573.64977954407,2592.7486399666004
25%,1336185.795467382,504159.3719631494,305998.6186383375,5245.846740604802
50%,1433666.6877901936,537388.8770525088,349559.038686531,7040.566287302151
75%,1583510.0946821426,574874.473434736,392995.7352927433,9132.721285529746
max,2748513.169743934,899804.7795293232,673107.2317106242,19672.538424757087
count,1000.0,1000.0,1000.0,1000.0
mean,241.50870088784296,103076.19748568404,148166.7881867105,6754.674855253272
std,1366.801555533832,22883.68559932315,48583.0680031574,3181.1249443887823
min,0.0,50046.80420208246,16894.400924148948,1784.8276794162666
25%,0.0,86713.6685248858,114310.01830685367,4659.102571974201
50%,0.0,100720.13886967648,146706.51585855143,6105.779423000391
75%,0.0,117315.9143053019,180811.98207981986,8079.450514950931
max,23122.33131439838,188155.3111049134,326027.1162818324,27029.63919204465
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,575.0,575.0,575.0,575.0
mean,1356417.439401113,617866.2463061686,422103.85724061355,6999.735183230904
std,219178.24014227279,69242.20526689802,79798.83491209414,2920.03426990406
min,818889.3420041853,423520.29220690945,210524.9436035181,1792.6839607613606
25%,1225626.0581204738,573342.673431817,364254.10184535116,4953.1936673833825
50%,1335533.1761794512,612093.955280169,415715.8877115351,6500.752900262262
75%,1458399.483652125,658627.4739667603,476456.24281822995,8428.19662026843
max,3929914.0176959448,994180.3357974142,718860.7474612602,26869.448672245162
count,1000.0,1000.0,1000.0,1000.0
mean,3125.582781679927,160297.91054752818,139575.01645625176,6125.88749209924
std,7383.5695596294945,37535.242924217935,49615.78133604942,2875.7528543022163
min,0.0,80544.74040739484,3330.810115218001,1380.8538330326408
25%,0.0,135266.30888876447,104807.5468105013,4287.422637088732
50%,975.7597448075123,156978.66980890115,139601.84453892225,5432.551022357578
75%,3171.921973420293,180767.63003887486,169866.87938074247,7187.293912901827
max,70435.27505972011,358170.1238233837,348968.89941837575,29264.114570782018
count,1000.0,1000.0,1000.0,1000.0
mean,7418.067461393677,195213.52150477265,197907.68443603034,7339.517828270718
std,12493.394927019577,50062.07744912602,54786.629097641184,3422.8821533295563
min,0.0,82057.221355656,74356.52201846681,2029.537880582707
25%,1311.8801440085595,160701.37282461437,159555.94200651624,5010.435897811446
50%,3548.093282645452,188281.79382521127,196631.53310099215,6607.628453849129
75%,7465.384324045045,221396.72691529393,233940.30280188343,8818.009150893162
max,127119.92268671936,585992.584108326,481728.92608130124,40065.85421997218
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,912.0,912.0,912.0,912.0
mean,659254.8165085792,690064.1148823515,518261.4184464146,7056.797346113294
std,158771.86455084014,78467.34236091467,104838.19756619455,3311.696215511095
min,270151.77636257093,463055.8712662612,261600.20330537387,1836.4161725012314
25%,565256.3462209519,636306.2709507332,448338.18399186095,4871.716935369667
50%,644456.6941809936,686094.2271384045,507273.84579471714,6340.345066887587
75%,735310.1658512113,740735.0309773849,573914.7276868317,8418.464060694854
max,3028796.4013590626,1102751.8176575508,1072442.4183421053,30099.668678539187
count,1000.0,1000.0,1000.0,1000.0
mean,55164.698685666546,249323.5730361545,283597.5892304086,6902.110884385046
std,66961.16295646517,64074.79237747965,58049.38789988322,3160.0247361278343
min,893.9170666930229,125582.69736923462,146358.7424738673,1715.6098405847165
25%,19855.335083371345,204550.18881443297,241663.95680380845,4709.674901274346
50%,36122.40178627582,240676.64101139642,279731.57576485485,6246.805301235454
75%,67508.9532551466,282025.09492715646,319445.9250382693,8167.503849860868
max,1246299.5648734157,1053847.6129203194,579965.8212701086,25945.463949898527
count,943.0,943.0,943.0,943.0
mean,452902.56547658035,553098.125097089,461828.75177366455,6786.449902377379
std,165612.38687044123,78125.26079054389,88305.19017872257,3144.347196203195
min,100836.05876115742,360551.0833838297,195765.73192578292,1849.4946278150114
25%,360279.69564220204,498393.8457493158,402692.6145447375,4655.567107286505
50%,436372.34701203485,548740.1430198037,457317.96791155695,6076.637412867411
75%,523115.2538453868,602290.2319229827,513127.9675659775,8141.237527975016
max,2818967.861442723,890168.0475751829,906019.1161619206,25346.69844504719
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,18.0,18.0,18.0,18.0
mean,2036328.6269741,649107.2605742938,482876.8742523447,6724.026639531922
std,185086.4780058756,56458.315211589135,80986.59030245851,2201.9928644364954
min,1719970.7066950037,550671.3120308622,337270.2422650856,3308.2004264103834
25%,1911071.423237066,608778.9957521254,425493.45932912757,4981.805545676212
50%,2032927.6267076398,665185.1607844864,482396.98573581886,6781.643193604867
75%,2193538.3554548677,685073.3856147411,535868.9477028812,7938.4324401874765
max,2292040.3924428406,736698.7932327178,632275.2987747979,11265.399562314064
count,988.0,988.0,988.0,988.0
mean,270059.0319650721,370926.1827649808,327188.5793912641,6224.794326749937
std,118305.05569676371,73869.71713367871,66191.45255074298,2978.7161501760916
min,46333.65371620622,203329.31055569998,166684.8407353452,1822.4392281904231
25%,201176.81208336365,322356.3897795869,280679.4377088365,4236.363590065779
50%,258846.94210706538,364104.33701211447,324875.1163174229,5614.6042840479995
75%,329892.2462450929,411569.8442165544,368126.7411682521,7474.1184749805525
max,2304660.132373214,1273569.710161192,644358.3238763931,28002.110038554496
count,1000.0,1000.0,1000.0,1000.0
mean,110.92838522145463,111071.01986662751,126154.01027347402,6889.895214190973
std,718.6283777574099,25691.775856208715,49884.84920591275,3096.6104761216316
min,0.0,49047.08010423823,0.0,1813.8202516713518
25%,0.0,93749.44620100327,92105.23779601672,4767.158201605774
50%,0.0,108577.98670271266,124798.61274042881,6399.604963592323
75%,0.0,125385.3467723659,159553.4416454205,8313.6578211064
max,13868.080509637062,259390.7902323651,364027.95928148745,23340.02341724153
count,1000.0,1000.0,1000.0,1000.0
mean,519.9352695532693,123030.58311518125,129034.02085481733,7416.889955506012
std,1768.635179575053,28791.634537217247,50478.405514339356,3301.061126207773
min,0.0,60771.90473654482,0.0,2270.448976558164
25%,0.0,102469.14807528898,92828.90988928704,5116.752746117825
50%,0.0,118347.81225212896,128045.81044477355,6787.6311376703015
75%,0.0,140637.2004633451,162646.60890055742,8898.103598318425
max,28864.180591797856,257939.94340358695,323869.8953620753,27808.210114914928
count,32.0,32.0,32.0,32.0
mean,1873801.517330887,935702.36539082,688304.6869412914,7880.429949179382
std,189000.39117899086,63230.457950871874,117855.77289558023,3324.560138805318
min,1490984.7739694994,802667.4787248734,438335.51054044825,2807.7667669038483
25%,1733763.5313261286,897879.283256312,594216.03185787,5745.835940406714
50%,1850016.916237149,936763.4778043028,689469.4920912235,6998.925981217219
75%,2016635.4084536773,984107.3892202924,760401.3833481972,9775.571698704414
max,2200700.7439454854,1049463.8610780297,977794.9615991367,14779.327948834803
count,1000.0,1000.0,1000.0,1000.0
mean,16742.066943988517,205601.65260083182,231384.63040585417,6223.442748350406
std,23711.0104988383,56879.5694977929,56930.96478647711,2923.1022340514137
min,0.0,88702.24371658744,89132.53054651109,1478.9140737796758
25%,4291.456327985874,169026.9267834667,191510.57387720802,4325.244360210505
50%,9026.699612703622,197673.56220604107,226362.48196171733,5649.099773489965
75%,19610.982266712865,231829.16469070874,266942.96734803345,7325.776705205916
max,300140.11737750156,823135.0453398537,468916.4715965752,24875.572416672338
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,137851.97183669824,359965.04434063873,346678.5360085909,6380.444637428446
std,100514.31981215301,74119.12367524157,68404.1836877535,3019.2271894883916
min,16044.132392424997,196326.62260801942,174367.73428296205,1927.1770870425557
25%,80526.44065891903,312400.1189060124,298818.48167406674,4352.49526132923
50%,120140.0421391016,351994.9016743892,342035.7590739273,5785.9150012593645
75%,173175.15578052777,401691.5778745292,390786.53480210196,7653.245943521926
max,2121409.5541078374,1229962.8024507635,636975.8202030029,28129.768904472345
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,39897.73847223729,245391.13999571436,194517.6435499805,5642.484330864869
std,33551.122912769606,61262.99592456614,52146.927549544576,2498.206371034813
min,0.0,108158.12739602572,51502.61247708995,1257.4515463660946
25%,15213.417236885833,201032.75534844853,158629.1088406261,3864.3240723038152
