,B,C,D,E
std,54387.309732253845,61018.26963334074,59897.1440082063,3468.8670200097326
min,266.6508308201916,99030.9190956082,111046.61748953816,2472.9632150228563
25%,10016.236364608254,194805.78249190457,234476.42451343557,5419.455510348631
50%,19824.72927260559,226020.98690890148,274032.71661169716,6997.856496125705
75%,41105.21609261096,269241.178803317,314308.948228011,9198.552166308547
max,1350013.9921753681,604070.5272236377,504398.66414185887,44498.366848196325
count,1000.0,1000.0,1000.0,1000.0
mean,7349.298841681594,180180.66536392903,165763.38726179572,5975.714317612858
std,12345.539901393135,45789.822793930936,50105.35253478495,2901.4177061675286
min,0.0,78203.93800113995,28937.120764695614,1268.4010147818772
25%,1356.3111382384575,149358.3326350929,131089.67573055255,4063.428525656107
50%,3733.3900934821995,174278.3630375617,165337.4122621155,5298.9862980396765
75%,7536.989982495996,205379.57741780288,197697.43023446453,7281.5151473296155
max,161550.60560864865,595766.6266745894,413823.72539680876,38396.360341319596
count,1000.0,1000.0,1000.0,1000.0
mean,1441.4415161487498,134305.03127432088,163102.7567413732,5124.45673304279
std,5768.606146321474,31633.456109645118,49782.02033981032,2466.38455166857
min,0.0,65081.780259011786,22776.62542288976,999.662900348989
25%,0.0,111523.41072327406,128957.83432142535,3448.8827520715076
50%,0.0,130915.10067359629,160038.13848253636,4580.005438553226
75%,1390.3385796458206,154060.707824152,192836.5299188141,6206.489375339002
max,137139.71317079564,277875.53770900564,456151.62015282584,21350.178236642703
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,410.9418518012594,116611.44669480398,159031.35079906363,7856.949008135529
std,2299.717949437829,26718.86867882259,51446.655607378925,3764.518103286381
min,0.0,52987.01733649682,6462.4799818264855,2494.907632597527
25%,0.0,98637.3365939954,121774.7532069576,5379.895055722099
50%,0.0,113202.63835158781,155756.79742396556,7007.610293164952
75%,0.0,131394.89263354725,192504.83784929552,9397.115177040687
max,41317.13150343544,265684.42627821246,450550.21137786325,46644.050222875645
count,782.0,782.0,782.0,782.0
mean,921447.1225863829,692784.1717225371,499201.48700900684,6841.988303788138
std,181161.07849580556,76538.99852738818,98745.03340710989,3271.0701070228843
min,524339.1695990474,480291.5268715991,269153.3384738555,1789.3975760526585
25%,815306.7987118651,642489.044529829,428414.05277248967,4647.839310980916
50%,904158.167425906,688644.1110775478,493463.19513541576,6138.27580751389
75%,1008685.5390355506,736132.7058178205,556402.6279206072,8216.984357780195
max,3439838.836122915,1103881.0512191397,979818.6265403973,28385.92045933503
count,983.0,983.0,983.0,983.0
mean,329202.39393976936,694944.4587764906,579732.5143425365,7691.859403693562
std,148688.3560328593,83797.16028829971,125285.80733474443,3446.5262359444496
min,69043.31077669631,483280.1733462926,285157.5432147939,2448.0320698335377
25%,242335.14578886973,637825.3691855151,495980.3645945168,5310.417780730801
50%,308443.96688319603,690647.2230248139,561928.7761430142,7067.749708147238
75%,390094.0394471264,747379.7705824648,645692.8442287757,9215.740171289712
max,2375778.6338529517,1040668.2105193011,1345358.4576847737,32812.7560522726
count,1000.0,1000.0,1000.0,1000.0
mean,178.24846223722355,115155.3434928263,107005.13747504854,6298.422735891769
std,857.6645851671723,24537.75040205846,50970.97607697512,3006.054221361105
min,0.0,61248.76827807025,0.0,1498.5586002900754
25%,0.0,98423.24571456328,72301.05698089792,4333.584156425543
50%,0.0,112213.75293336135,102904.22842974693,5676.686890815689
75%,0.0,129233.12019001343,141328.7664496023,7538.802764433952
max,13867.743516345257,224303.98497006937,301103.0775748311,26880.331570647406
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,5093.0375598684,169635.37919475388,140479.35497560937,7678.370606111527
std,9731.20676318576,42235.286305688176,48549.71679728497,3344.8998558594353
min,0.0,82855.29966743293,15093.09662785857,1910.4174698001086
25%,0.0,141790.49072020705,105647.88783000791,5394.056089955409
50%,2295.55891908432,163430.11406137623,139487.67693535483,7025.559639396554
75%,4968.641070505482,192331.21757801308,171276.97670918194,9019.83962700011
max,98599.08348595514,510800.240265567,321224.4321572825,29653.89977743759
count,1000.0,1000.0,1000.0,1000.0
mean,1190.396142469619,95561.10863526595,174177.59523151017,7179.2299381687935
std,6136.946362871591,28720.01546169953,50958.52345506641,3364.8331762432063
min,0.0,40086.77071638134,36105.03335518002,2114.1959262638416
25%,0.0,78274.9809301727,137062.897897853,4895.7310684173135
50%,0.0,91970.33119587309,172172.22514006682,6530.064946743887
75%,391.0058478906018,108155.44511508636,206190.3752569242,8480.285345856737
max,137174.28171827097,477122.7438708361,463943.23072180786,37352.267842713314
count,2.0,2.0,2.0,2.0
mean,2129364.76434795,824179.4918088084,704725.2797108665,6665.736040467345
std,1300.7161105423436,12007.169984594777,60491.234360866925,1350.2011823903827
min,2128445.019165787,815689.1404898419,661951.5176919528,5710.999628433012
25%,2128904.8917568685,819934.3161493252,683338.3987014096,6188.367834450179
50%,2129364.76434795,824179.4918088084,704725.2797108665,6665.736040467345
75%,2129824.6369390315,828424.6674682917,726112.1607203233,7143.104246484513
max,2130284.509530113,832669.843127775,747499.0417297801,7620.47245250168
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,285.5628762916209,122424.52007973268,176196.30265001155,5367.263336936854
std,1261.6578207277735,27878.67958464684,53348.30426466784,2534.98338401212
min,0.0,58481.88844215976,34806.395857809046,1413.068929882935
25%,0.0,102280.5835979292,140498.557762149,3571.3026226095544
50%,0.0,119640.44684913545,176885.0347835126,4799.695958759878
75%,0.0,139168.44687042118,210437.72305733655,6653.954077366059
max,22031.57091512165,260020.68786656953,427524.5522981343,19042.461556889146
count,1000.0,1000.0,1000.0,1000.0
mean,71353.48230895611,255977.70833994806,183331.41453414588,7852.167764103097
std,45562.06693371358,60676.90343628435,51783.04934655335,3346.6369591046237
min,3410.5371404215157,118866.10266295093,66383.7627131406,1656.2243603121515
25%,36184.092514673364,212404.0724293922,147229.91777792055,5397.556732932436
50%,63672.28778511025,248970.7176351942,182065.09535020532,7237.018889869392
75%,97195.40689521875,291529.8436725176,215387.66290488606,9703.645833867415
max,295021.1738588569,576751.3555495446,381280.0985188072,28939.7168795579
count,997.0,997.0,997.0,997.0
mean,212482.6284953782,343773.59016609396,302344.45968995034,5915.536936958592
std,114541.27714682538,74758.84334993499,63975.34361924334,2912.772520489303
min,37591.38897909927,165798.99590169344,138457.1523762789,1592.567684723309
25%,147545.71474681346,296135.1138098647,255845.40790288805,4012.219913535467
50%,197593.04129429744,335379.4978161331,297919.90847043623,5308.310973740345
75%,261027.55723571713,385096.372592205,341872.6041822565,7225.990844709846
max,2398941.5147724394,974178.4263996488,569367.1077568915,37796.6355494657
count,1000.0,1000.0,1000.0,1000.0
mean,126.1919685901235,105635.7869254309,135860.42965608713,7427.2849314007235
std,777.1980221920027,26221.91533985052,49805.3743922393,3400.0967188166205
min,0.0,50862.884427788595,2123.582755435963,2302.0085393754644
25%,0.0,88646.36834368104,99346.5441057315,5135.684530881149
50%,0.0,102281.62166080093,133186.3131974471,6815.421839764231
75%,0.0,119349.78052552315,169726.98008516486,8882.60971812049
max,13864.31739195492,398770.96701357944,316919.2538184133,43843.504151245674
count,1000.0,1000.0,1000.0,1000.0
mean,20640.11615754029,214014.84161867623,191482.5831747606,8017.170518232202
std,22426.993771552938,55069.46505508162,54208.94723719242,3534.9908378849987
min,0.0,110719.22468147491,25339.76039153876,2024.60704388954
25%,6600.132813906204,175811.7478589525,154402.15329496603,5567.549926214618
50%,12184.33612192616,204713.75621536726,189476.07321888953,7347.247551015784
75%,27219.884700009632,243499.42399302448,224638.00540823358,9566.254266329262
max,274669.18083996564,506912.13710393274,431393.5995846233,33804.131985317974
count,1000.0,1000.0,1000.0,1000.0
mean,8215.602891358765,185009.19907770437,218875.94377046882,7752.7477904891
std,13073.504403161196,45658.62562203599,51376.97224594586,3439.8273472250153
min,0.0,88595.16648451047,64028.89081474713,2296.2841953207326
25%,1647.6666725202203,153438.4218281298,184056.45913525939,5380.488759535193
50%,4010.9392558096242,179105.49674000643,217826.7798131286,7066.013224398068
75%,8356.10081839313,210418.0499080362,252084.0187222649,9329.315011128581
max,135600.20268692775,417021.0346281134,421642.2594858876,40283.90682993986
count,1000.0,1000.0,1000.0,1000.0
mean,14085.30444920554,177757.2055433571,209541.32306486665,7464.372787181861
std,21654.082626181356,43461.42542423907,53838.237492055436,3375.2424073092516
min,0.0,84020.65863227425,24828.623486024015,2174.9214172972547
25%,3434.6475134526,148818.60164670533,174167.3818028381,5148.364288028479
50%,7569.026555283708,172604.10040596794,206864.29759765335,6756.828021572122
75%,15328.584892254112,202443.9641673124,245465.23660034564,9045.902790640754
max,253646.16257956284,415625.17072645953,407353.16937823617,31584.39442318722
count,1000.0,1000.0,1000.0,1000.0
mean,2498.468418264297,142975.07966702478,169435.6910671688,7823.316825668426
std,6402.032140461218,35049.1575325876,48656.13891963407,3484.446784392327
min,0.0,76284.21505083042,40373.394568256466,2329.1462607693143
25%,0.0,116034.9309576557,135932.23605518526,5461.373580550031
50%,446.73641231500415,138757.07304053835,167671.15252023915,7125.680963891198
75%,2404.5920096851205,162343.82182802312,197997.08725196176,9490.399989198277
max,84331.46014024137,319682.77267646015,365093.87075508694,33855.9355866338
count,1000.0,1000.0,1000.0,1000.0
mean,724.016035302639,59354.60252449279,207258.68797444386,7288.290737448832
std,2967.9897834669487,22322.67952162367,50447.34707247262,3569.4669747479097
min,0.0,21407.27482613472,56316.80924490583,1834.7003301405327
25%,0.0,47050.021004127906,172485.73600050237,4948.181876195318
50%,0.0,55434.96710094171,208291.75588533573,6560.1223764175775
75%,0.0,66788.72419744972,237659.1237960834,8650.053423542087
max,41625.28770821124,442050.9330349749,413636.9657731781,36860.305104499006
count,1000.0,1000.0,1000.0,1000.0
mean,18722.860100083755,207383.61909546913,241370.35576448537,7419.614126187138
std,26138.193587721133,54165.07860422478,53497.874290909254,3413.8989475941157
min,0.0,95215.14472578514,105099.48681113719,2068.3275901241736
25%,5116.841593604096,171477.00970470178,202430.67195409944,5210.335841990298
50%,10348.003617234996,198741.5442905209,239214.77370929066,6732.306265387189
75%,22018.43602520711,234873.96702934627,275575.78351808543,8698.305871203676
max,370696.4467302805,597301.2256731517,450189.03440015065,30539.427156337097
count,1000.0,1000.0,1000.0,1000.0
mean,11084.692424911558,193157.99048260326,212643.56561191226,7924.58174011503
std,19475.183738280062,48755.44826993759,54501.467549321635,3562.093465896211
min,0.0,97178.0575902693,44363.82181138335,2137.4982458525224
25%,2513.1400656175647,158234.07777824518,173915.83691228525,5561.898056547316
50%,5593.987597821511,185379.74307211902,210979.00520987084,7122.414200583316
75%,11793.588539775097,219751.8887059794,246761.77219926438,9435.257121715042
max,351976.71690592164,470374.5708744209,442524.50916967256,33062.43024439017
count,1000.0,1000.0,1000.0,1000.0
mean,5289.8358196103345,174010.2781738773,153812.51760229998,6760.76786720551
std,9964.089282853562,41692.350019337755,49574.16628611277,2988.9333694215397
min,0.0,83982.92332762237,5526.429744687006,1928.5608232420116
25%,0.0,146217.983731134,120024.39090016171,4664.930200021026
50%,2356.6035096385394,168363.20062616622,153464.0586668412,6134.335509065349
75%,5249.266776738495,197248.39792359,188182.26559208555,8108.012506316741
max,86916.368376339,369879.79717226117,385520.5985691647,28692.7953780471
count,1000.0,1000.0,1000.0,1000.0
mean,7243.850981856907,176882.59167410593,137869.9958517593,7333.306402800979
std,12109.054679001587,44176.05135396567,51512.586938282184,3637.157298772291
min,0.0,81142.87043759692,3444.2249518898825,2039.394074623535
