Bm,DesignDm,GMFile,GMS1,GMST1,GMST2,GMSTm,GMSavg,GMScale,R1,R2,R3,RI,S1,ST1,ST2,Ss,T1,T2,Tfb,Tm,Tshort,accMax0,accMax1,accMax2,accMax3,beam,col,collapseDrift1,collapseDrift2,collapseDrift3,collapse_prob,collapsed,driftMax1,driftMax2,driftMax3,earthquakeDm,gapRatio,impacted,impactedLeft,impactedRight,maxDisplacement,max_drift,moatAmpli,moatGap,mu1,mu2,mu3,occupancyDrift1,occupancyDrift2,occupancyDrift3,resDrift1,resDrift2,resDrift3,roofBeam,runFailed,serviceDrift1,serviceDrift2,serviceDrift3,serviceFailure,uplifted,velMax0,velMax1,velMax2,velMax3,zetaM
1.363854076,19.53737451,RSN1541_CHICHI_TCU116-E,1.189380333,0.38730187200000005,0.266748804,0.27890316800000003,0.507855287,1.996651824,37.90342486,68.22616474,68.22616474,1.243627001,0.85963722,0.365878007,0.230230801,2.2815,2.349518703,3.7338063210000003,1.3594232259999999,3.166952254,0.376785983,2.241798654,0.9577691509999999,0.417587992,0.593211698,W21X62,W14X132,0,0,0,7.920918734798118e-05,-1.0,0.029846795,0.03033141,0.025212178999999998,20.07455629,0.848082862,1,1,1,18.1718,0.03033141,0.871400972,17.02488715,0.026557828999999998,0.092449919,0.092449919,1,1,1,0.004649872,0.009026282,0.009300256,W21X44,0,1,1,1,1.0,0,42.1783,43.0405,43.6874,47.1915,0.154618025
1.342829407,26.35925002,RSN164_IMPVALL.H_H-CPE147,0.751657097,0.33792774600000003,0.246455135,0.312739104,0.60216813,7.825504682,39.46542588,82.87739435,82.87739435,0.945605415,1.0192788190000002,0.42795809700000004,0.247684397,2.2815,2.38172575,4.115232261,1.209230837,3.547999191,0.446758194,0.47174689399999997,0.149110248,0.151908644,0.163666408,W24X68,W14X159,0,0,0,1.1695909077772794e-22,-1.0,0.005563462,0.006855769,0.005024359,28.69496832,1.069511076,0,0,0,26.2075,0.006855769,1.164281473,30.68958645,0.024488936,0.082570819,0.082570819,0,0,0,0.00073089,0.000943378,0.000947244,W18X40,0,0,0,0,-1.0,0,45.6025,45.6913,47.1632,48.647,0.14760980199999998
1.32310066,34.65155818,RSN523_PALMSPR_IND000,1.486165225,1.168475823,0.168461363,0.21144215600000002,0.709585648,19.83949186,22.2819256,95.81228008,95.81228008,1.6904973580000002,1.201102458,0.961782675,0.271452072,2.2815,1.248829376,4.424731223999999,1.3710246769999999,3.899942625,0.5264529729999999,0.606446687,0.141354037,0.141781832,0.231316253,W24X55,W14X132,0,0,0,1.9133927168775287e-17,-1.0,0.006746154,0.009507050999999999,0.007822372,23.78989407,1.682512201,0,0,0,18.3005,0.009507050999999999,1.1551222840000002,40.02678703,0.037105011,0.056436205,0.056436205,0,1,1,0.000482269,0.000684923,0.000735035,W18X40,0,0,0,0,-1.0,0,43.6781,46.7695,51.681999999999995,55.7516,0.141033553
1.288031523,24.97378626,RSN5807_IWATE_55462NS,0.7437941309999999,0.863027843,0.126535141,0.188673835,0.510055841,6.60553199,28.76312018,89.16567257,89.16567257,1.58609952,0.863362057,0.63398235,0.202263634,2.2815,1.3618077169999998,4.268498687,1.44837497,3.806628924,0.37841860899999996,0.47069358200000005,0.114477226,0.116736025,0.14837241199999998,W21X55,W14X120,0,0,0,1.6935170806473844e-19,-1.0,0.00616859,0.008312179,0.005537821,20.7751253,1.774995633,0,0,0,16.6212,0.008312179,1.4765785340000002,36.87575669,0.027467385,0.040129519,0.040129519,0,1,0,0.00014185899999999998,0.000177609,6.55e-05,W21X44,0,0,0,0,-1.0,0,50.7869,49.9769,48.0992,46.8631,0.129343841
1.40177332,18.95370931,RSN1549_CHICHI_TCU129-E,0.9366722470000001,0.45026316899999996,0.172190642,0.157811949,0.48178160200000003,1.609665509,26.75788556,74.92207956,74.92207956,1.790765931,0.8155027779999999,0.45483250399999997,0.20842232,2.2815,1.792973833,3.9127420610000003,1.44837497,3.3286580260000003,0.35744149799999997,0.470812629,0.148660973,0.137766304,0.16439104599999999,W21X55,W14X120,0,0,0,7.893941490104072e-17,-1.0,0.007523718,0.009914103,0.006748077,12.20893649,2.7906424469999997,0,0,0,17.8564,0.009914103,1.797578291,34.07077639,0.02518392,0.06111922400000001,0.06111922400000001,1,1,0,0.0008931410000000001,0.001130577,0.000871212,W21X44,0,0,0,0,-1.0,0,60.8484,61.1075,60.5149,59.7064,0.167257773
1.255529389,17.98358237,RSN5804_IWATE_55446NS,0.8594708759999999,0.30833021899999996,0.335096698,0.351495269,0.515932712,6.397109672999999,29.62077466,44.43116199,44.43116199,1.7708936169999998,0.873309728,0.397129681,0.289833215,2.2815,2.199054286,3.013145773,1.290992192,2.641541346,0.382778754,0.86073499,0.488465321,0.346539855,0.38757764,W24X62,W14X145,0,0,0,1.6086999149887327e-09,-1.0,0.015483333,0.017752564,0.014160256000000001,19.119864399999997,1.231506274,1,0,1,23.8981,0.017752564,1.309318271,23.54623298,0.02621623,0.13040047400000002,0.13040047400000002,1,1,1,0.004164917,0.003597936,0.002800276,W18X40,0,0,0,0,-1.0,0,49.5931,50.7631,52.4408,52.7798,0.118509796
1.217227536,28.89035501,RSN3979_SANSIMEO_37737090,1.6587326430000002,0.558800058,0.383089284,0.37721152399999996,0.733770453,10.79841496,19.80686386,49.51715965,49.51715965,1.192553774,1.242039629,0.762715228,0.390464255,2.2815,1.628444777,3.1809304239999996,1.06325684,2.8927560660000005,0.544396068,0.490075052,0.32873706,0.303804348,0.38418995899999997,W24X84,W14X193,0,0,0,1.7425886972968e-14,-1.0,0.00903141,0.011726282,0.008917949,25.38131921,1.63134472,0,0,0,31.958000000000002,0.011726282,1.43320084,41.40568107,0.028510397000000003,0.082688159,0.082688159,1,1,1,9.87e-05,0.00019432099999999998,0.00038883300000000005,W21X44,0,0,0,0,-1.0,0,91.417,93.4386,95.3216,96.4134,0.105742512
1.276080174,20.60313284,RSN1107_KOBE_KAK000,1.013925862,0.7592226209999999,0.15547060199999999,0.17920864,0.5267203229999999,4.299595419,16.33376833,55.53481233,55.53481233,1.771918088,0.8915697159999999,0.7091164609999999,0.264664899,2.2815,1.2572966,3.368673822,1.3547442509999998,3.0128571089999996,0.390782255,0.442906315,0.151754917,0.116782867,0.145213509,W24X55,W14X132,0,0,0,6.542929953562792e-24,-1.0,0.005173718,0.0063775640000000005,0.004795000000000001,12.47715105,2.922501577,0,0,0,10.7616,0.0063775640000000005,1.769851892,36.46449364,0.028377552,0.053911492000000005,0.053911492000000005,0,0,0,7.5e-06,1.25e-05,0.000189321,W21X44,0,0,0,0,-1.0,0,32.8712,34.2541,36.1285,40.7488,0.125360058
1.334723478,23.51093364,RSN347_COALINGA.H_H-Z09000,0.985330403,0.360126684,0.111837681,0.173885005,0.485441346,7.630128689,41.37637024,99.30328857,99.30328857,1.23662598,0.821697558,0.331353791,0.182412197,2.2815,2.479819396,4.5046196069999995,1.414772752,3.901861039,0.360156721,0.155358437,0.077647516,0.09335352,0.10817287800000001,W21X55,W14X132,0,0,0,5.058619544701992e-24,-1.0,0.004748077,0.006337179,0.0042275640000000005,19.41296225,1.011541815,0,0,0,15.9639,0.006337179,0.8352294029999999,19.63702307,0.015414185,0.056531798,0.056531798,0,0,0,0.000108929,0.00011916,0.000117705,W21X44,0,0,0,0,-1.0,0,33.5525,34.5324,38.0019,40.7634,0.144907826
1.440951069,28.99237669,RSN1541_CHICHI_TCU116-E,1.67124557,0.881535672,0.37616745100000004,0.40285243600000004,0.713607645,2.80557482,17.28953155,86.44765775,86.44765775,1.761059745,1.2079104170000001,0.813756713,0.287396718,2.2815,1.484363076,4.202937412,1.275236509,3.53362895,0.529436957,2.454979296,0.916436335,0.47001294,0.610062112,W24X62,W14X145,0,0,0,2.97486400582794e-07,-1.0,0.021413462,0.022383973999999997,0.01905641,34.16772245,0.7522173679999999,1,1,1,26.7445,0.022383973999999997,0.886493526,25.70155424,0.029900457000000002,0.079449603,0.079449603,1,1,1,0.0014837820000000001,0.002509295,0.001308654,W21X44,0,0,0,0,-1.0,0,63.6958,63.5231,62.3339,60.8958,0.18031702300000002
