S1,Tm,zetaM,mu1,R1,moatAmpli,RI,GMFile,GMScale,mu2,mu3,R2,R3,beam,roofBeam,col,moatGap,Tfb,T1,T2,ST1,ST2,GMSavg,GMS1,GMST1,GMST2,GMSTm,maxDisplacement,driftMax1,driftMax2,driftMax3,accMax0,accMax1,accMax2,accMax3,velMax0,velMax1,velMax2,velMax3,collapseDrift1,collapseDrift2,collapseDrift3,serviceDrift1,serviceDrift2,serviceDrift3,occupancyDrift1,occupancyDrift2,occupancyDrift3,resDrift1,resDrift2,resDrift3,impactedLeft,impactedRight,impacted,uplifted,runFailed,collapsed,serviceFailure,Bm,DesignDm,earthquakeDm,gapRatio,Ss,Tshort
0.87424152,3.489223445,0.145693202,0.012396698,24.00904143,1.72668346,1.810731232,RSN68_SFERN_PEL090,3.488379318,0.061288993,0.061288993,79.22983672,79.22983672,W21X55,W21X44,W14X120,38.55609623,1.448374968,1.978302442,4.023654554,0.441914998,0.217275491,0.516483195,0.867158424,0.274550522,0.367769398,0.385655593,33.8237,0.013248718,0.018078205,0.012266026,0.54259058,0.189749741,0.231767857,0.331990166,54.7635,53.6373,54.9224,58.1117,0,0,0,0,0,0,1,1,1,0.001758487,0.002390192,0.001590577,0,0,0,0,0,-1,-1,1.337079606,22.32956829,34.36982451,1.121800788,2.2815,0.383187166
0.877745651,3.181158059,0.108682266,0.016487104,32.14868915,0.999170009,0.868644245,RSN138_TABAS_BOS-L1,6.154347784,0.071581713,0.071581713,61.08250939,61.08250939,W24X76,W18X40,W14X193,22.27222765,1.11111009,2.248596084,3.53292764,0.390352744,0.248447107,0.518553361,1.028416747,0.39868954,0.191284106,0.255927569,19.392,0.004987179,0.006730769,0.005810897,0.325967909,0.14610999,0.169878882,0.216867754,35.0761,35.0609,36.6923,38.0529,0,0,0,0,0,0,0,0,0,1.38E-05,2.09E-05,0.000184487,0,0,0,0,0,-1,-1,1.226046799,22.29072875,20.67558951,1.077223343,2.2815,0.384723055
1.06967139,3.415345518,0.102870447,0.018031151,44.21825479,1.778667554,0.667712441,RSN3747_CAPEMEND_CRW270,4.527091248,0.103417857,0.103417857,70.74920767,70.74920767,W30X90,W21X44,W14X257,52.62238468,0.889997588,2.731331848,3.802218736,0.391629963,0.28132821,0.631938983,0.823677543,0.571690999,0.372569761,0.345348052,31.5269,0.003891667,0.00494359,0.004330769,0.351260352,0.222785714,0.209223602,0.258493271,67.9437,68.7777,69.1102,68.4424,0,0,0,0,0,0,0,0,0,6.60E-06,4.84E-06,0.000180718,0,0,0,0,0,-1,-1,1.208611341,29.58528397,32.62248338,1.613071086,2.2815,0.468845667
0.989846987,2.730374957,0.192982842,0.043518273,17.22367412,0.690845649,0.91161098,RSN1549_CHICHI_TCU129-E,1.953791694,0.093880587,0.093880587,53.39338976,53.39338976,W24X84,W21X44,W14X211,12.35650662,1.04030637,1.374055094,3.303087315,0.720383769,0.299673273,0.584780433,1.136920961,0.983458116,0.193118553,0.302872001,13.0724,0.010483974,0.012444231,0.013272436,2.060137164,0.796234472,0.763848344,0.710491718,62.8597,64.3518,65.79,67.1159,0,0,0,0,0,0,1,1,1,0.001565701,0.001765497,0.001678404,0,1,1,0,0,-1,-1,1.478948526,17.88605984,14.94266405,0.826927955,2.2815,0.433857982
0.854403402,3.895197392,0.159428349,0.023797759,15.06313623,0.577453763,1.551370153,RSN471_MORGAN_SJL270,12.00196443,0.043227935,0.043227935,99.41669914,99.41669914,W21X50,W21X44,W14X109,13.64733938,1.542655006,1.176224272,4.507191152,0.726394976,0.189564492,0.50476326,1.17305436,0.940397806,0.102912315,0.194340193,13.1067,0.007219038,0.012609872,0.01109391,0.675879917,0.242999224,0.303317805,0.356596791,32.2326,33.6203,40.3388,42.2343,0,0,0,0,0,0,1,1,1,2.52E-05,0.000445256,0.000689872,0,0,0,0,0,-1,-1,1.378285048,23.63364872,20.93919149,0.65176057,2.2815,0.374491958
0.826714946,3.831960648,0.190437685,0.025233947,24.12218912,1.450959146,1.098249591,RSN523_PALMSPR_IND000,13.65545824,0.051050021,0.051050021,103.7254132,103.7254132,W24X55,W21X44,W14X145,30.57766417,1.321385828,1.578817035,4.603825925,0.523629356,0.179571287,0.488405512,1.02292273,0.71910844,0.101329704,0.139057751,11.5481,0.006085897,0.009605833,0.009291346,0.664083851,0.136534938,0.167283385,0.357277433,27.3285,28.711,33.8189,39.885,0,0,0,0,0,0,0,1,1,0.000445801,0.00097034,0.001135279,0,0,0,0,0,-1,-1,1.471313056,21.07410416,13.58343394,2.251099707,2.2815,0.362355883
0.933682771,3.557655803,0.187266041,0.036262345,29.5490161,0.427232682,1.688647464,RSN347_COALINGA.H_H-Z09000,8.670002276,0.063000703,0.063000703,88.64704831,88.64704831,W21X55,W21X44,W14X120,9.50205899,1.448374971,1.600819955,4.256066911,0.583252831,0.219376901,0.551599815,1.11961635,0.762675094,0.149659345,0.276666188,10.9379,0.041943654,0.030678205,0.029658333,3.649068323,1.513100414,1.312595756,1.397867495,54.8424,45.6409,57.3713,61.1721,0,0,0,1,1,1,1,1,1,0.028379009,0.012091603,0.010195128,1,1,1,0,0,-1,1,1.461798123,22.24094595,23.44627877,0.405269385,2.2815,0.40924075
1.071139089,2.619090375,0.133416263,0.043256374,32.5609556,1.360706835,1.125361457,RSN65_SFERN_OPP000,19.2917359,0.18203148,0.18203148,45.58533784,45.58533784,W24X84,W21X44,W14X193,28.73504237,1.063256842,2.252202377,3.052030689,0.475596287,0.350959475,0.632806068,1.195786289,0.595292938,0.243373897,0.353559132,19.7957,0.006694231,0.008435897,0.006937821,0.6899353,0.253645186,0.317380952,0.316917702,71.2364,71.3609,73.4873,75.7679,0,0,0,0,0,0,0,1,0,2.24E-06,3.14E-06,0.000182628,0,0,0,0,0,-1,-1,1.300248789,21.11773208,18.25634989,1.573975222,2.2815,0.469488972
1.194667264,2.549118355,0.14872309,0.063213984,26.20409458,0.535664938,1.222953466,RSN1083_NORTHR_GLE170,8.166545927,0.118875373,0.118875373,41.92655133,41.92655133,W24X84,W21X44,W14X193,11.86063368,1.063256844,1.583404811,2.926987568,0.754492633,0.408155907,0.705783873,1.681211694,0.793920898,0.318288159,0.360384671,13.2456,0.021175,0.022289744,0.028583974,2.913017598,1.480665114,1.467329193,1.354725673,43.3148,41.7649,48.5186,61.3848,0,0,0,0,0,1,1,1,1,0.007869859,0.00777759,0.010520833,1,0,1,0,0,-1,1,1.346169271,22.14188915,17.02644653,0.696600648,2.2815,0.523632375
1.066805334,3.422279456,0.141624864,0.024240846,38.3318581,0.460484497,0.506688742,RSN523_PALMSPR_IND000,17.6212076,0.094515687,0.094515687,76.66371619,76.66371619,W30X99,W18X55,W14X311,12.41990493,0.822873318,2.41326064,3.957958544,0.442059725,0.269534237,0.630245779,1.319994793,0.365831765,0.194933449,0.203192205,13.8435,0.015315385,0.016180769,0.021469872,3.072567288,1.489738613,2.199438406,1.700049172,71.9283,61.2242,68.0614,92.4489,0,0,0,0,0,0,1,1,1,0.005241801,0.004487449,0.003894462,1,1,1,0,0,-1,-1,1.324874592,26.97138562,17.58087937,0.706443897,2.2815,0.467589452
