cost_mean,cost_std,cost_min,cost_10%,cost_50%,cost_90%,cost_max,time_l_mean,time_l_std,time_l_min,time_l_10%,time_l_50%,time_l_90%,time_l_max,time_u_mean,time_u_std,time_u_min,time_u_10%,time_u_50%,time_u_90%,time_u_max,collapse_freq,irreparable_freq,replacement_freq,B_mean,B_std,B_min,B_25%,B_50%,B_75%,B_max,C_mean,C_std,C_min,C_25%,C_50%,C_75%,C_max,D_mean,D_std,D_min,D_25%,D_50%,D_75%,D_max,E_mean,E_std,E_min,E_25%,E_50%,E_75%,E_max
758214.0499783411,145185.58817539958,433957.5184061029,615555.3958085752,743136.7330107612,914111.290684124,3063177.7477864698,218.21843833172883,119.71954404513257,105.92175671112288,150.02987371635618,201.15003850672085,288.8772756675188,3235.6776161323214,550.63340776426,158.85392257113372,310.0667174522548,425.5559786109463,523.7238046107087,693.6541330731192,3917.6500659475673,0.0,0.0,0.0,89433.88367275757,102996.38340460324,4772.720692014549,38925.76286199986,67746.28647123068,112577.80506510762,2294893.8522626846,315464.4595292752,69446.60001293595,158480.0328317057,266901.8100500071,306277.6916216311,353197.6010176648,866850.3040372349,346784.87201597035,71948.90768158028,157860.72087237582,296336.3532254935,343131.03171712306,389444.1400514207,656804.8285390905,6530.834760337955,2981.527038298764,1804.475188463231,4563.272717049773,5907.091858294034,7882.40033232294,25322.0876662392
439339.064947745,80955.7485391746,236393.93385376423,344239.0829184792,433598.6779592084,545557.2739025933,955410.4717164112,119.25776659139196,37.66858614128165,46.55974005680537,79.18349427894744,114.04453524984864,166.7620207411476,368.49876106768806,287.1206196916437,60.08860301986898,134.80418163275488,215.16753848822583,281.6917687610531,368.8497343988659,546.6922100068699,0.0,0.0,0.0,25358.098334320606,24687.460895117165,0.0,7978.767320293254,16362.870677305838,35430.69630803429,173366.05629761342,218197.08429119785,54766.55906437716,102933.84894123224,179967.31121661962,207991.05987646675,248301.29057280748,461009.8024701617,187909.90245713555,52051.08024800789,62109.34284497427,151859.75777092192,185423.52896960964,221051.32295958503,399209.517223361,7873.979865091009,3391.220834308899,2222.3077678893865,5497.699601395447,7122.041862606557,9479.76053759954,32243.31491998818
367341.3798566052,67643.35137424388,155356.7432422126,284485.18738885113,363941.5066640265,447247.11570728826,701540.7970443746,94.70764857676495,32.24392866974129,38.46775937410524,58.43163708700803,89.32614119482267,137.84192587443974,278.0739967523361,224.82420076404227,48.36608196210294,115.97922490978354,167.17257810538652,221.4261086421492,286.9823250878846,502.9275389187175,0.0,0.0,0.0,2980.1452163821805,7550.985896978001,0.0,0.0,706.4298387273303,2953.310528009773,112786.62467290768,150283.94709032102,38623.03095455047,71294.98289948683,122351.95017267192,146043.0495875177,170857.04205942975,424197.1953466297,206930.0128045683,54338.240513076176,18663.009314069423,169049.2479724913,204544.50246139304,241729.94109354995,435506.0645415619,7147.2747453336415,3151.5698887185927,1960.004843384212,4910.227410795154,6447.087342608879,8741.443582053093,22894.61484056596
344564.03877040563,70252.86264472528,196361.50416287413,264935.54858277034,337430.5611690544,427720.9274842685,1077673.0239696472,85.67209880250998,40.45385068551352,28.63244777817276,50.33955825325017,78.13740426896607,127.61729400678956,818.7405784360152,199.1764050243009,55.66637971456419,99.0031077301947,140.75574164318266,191.31707661041676,263.5828639155396,937.088165528966,0.0,0.0,0.0,12155.151670296613,31162.852530561377,0.0,1484.7435925163368,4013.957080076424,11820.672806925775,690819.4825725724,93539.25094305376,32089.02762378711,42234.82591945483,73349.76651665423,87198.79879379988,105505.41767510067,423164.5205704425,231712.07197468763,52085.58689399347,90896.5257747934,197351.93074622945,227960.75985574492,264118.18938188034,417715.1545731935,7157.564182367624,3535.9977674664224,1982.0735923680195,4925.922111595432,6354.398998273804,8570.405550919488,48318.27896730837
4339298.756269028,6073847.034731794,1365822.7401826377,1675218.116940627,1923036.3972551,19440000.0,19440000.0,2145.716485510346,3894.228561747356,355.201162210083,467.7356176716026,583.0081315151506,11826.0,11826.0,2832.815327868715,3621.689248355476,972.3250090505052,1181.6728881944618,1383.3022414736552,11826.0,11826.0,0.0,0.139,0.139,754465.3246262704,178450.97693476823,406838.7424560482,646654.570092496,731574.842440432,839894.1305140028,3216987.950788479,650893.2180232137,78689.40559513835,470095.1040832566,599650.838916981,647878.6685715446,696154.2971387301,1019647.5621382904,488049.2601682314,101160.45297962414,259895.7489996272,420413.4947854263,477126.39260600926,543979.8634493286,1044175.7798321348,8030.938493581727,3633.269493357706,1956.0001566934047,5593.030669751986,7244.406857077377,9613.85016141944,33075.00200448587
19423946.175648022,507666.5010851777,3386175.648024962,19440000.0,19440000.0,19440000.0,19440000.0,11815.000365420225,347.83898701640294,826.3654202242989,11826.0,11826.0,11826.0,11826.0,11816.136597895314,311.9081612890262,1962.5978953151675,11826.0,11826.0,11826.0,11826.0,0.003,0.996,0.999,2529168.002167816,,2529168.002167816,2529168.002167816,2529168.002167816,2529168.002167816,2529168.002167816,542043.4583367875,,542043.4583367875,542043.4583367875,542043.4583367875,542043.4583367875,542043.4583367875,310213.2421526527,,310213.2421526527,310213.2421526527,310213.2421526527,310213.2421526527,310213.2421526527,4750.945367705902,,4750.945367705902,4750.945367705902,4750.945367705902,4750.945367705902,4750.945367705902
141327.34382665774,50441.93911858773,8902.879466711607,79101.96520195597,137989.94190544914,207836.52272120668,320358.59669173195,52.64776442527326,32.62950032122036,2.6398197449270664,16.863279736534434,45.3226409023414,96.11860896710073,313.63977076311687,82.24758106084703,39.59756144123135,7.810945705422061,35.681197761448026,79.43663349555933,134.9910119438517,336.7641718001151,0.0,0.0,0.0,6.341309758573637,93.32665326139954,0.0,0.0,0.0,0.0,2290.209847223879,20277.506741163797,10842.195716214384,2138.4152309612136,13211.212997974068,18866.821337300607,25198.017326175235,200706.3700256096,113926.14034511946,49874.03365374708,0.0,79649.26820278485,110737.05315220468,148307.93205768522,266790.005775006,7117.355430615904,3445.37757418234,2262.586852692018,4715.003468141108,6372.573557120983,8568.808680953343,38410.33592359918
337195.50785164465,65193.72639690152,156824.3054644987,257619.15337331968,333328.43131492275,419968.044622789,651556.8671646947,88.2711459703149,31.71271581120425,33.189709437400296,53.806978517177456,83.06552813165985,130.5745290189348,291.7957642330169,211.26175922679587,47.908927417555866,96.63147290274983,157.16588528281204,203.76936499195543,273.4419344379564,482.8901172424285,0.0,0.0,0.0,2582.7180998913386,8087.5239585462,0.0,0.0,297.76154139950233,2522.0977732201445,137322.00569209323,140080.85647418897,35589.33629812724,62231.60890626308,116755.65990425929,135722.40521399627,158812.13737641333,392480.358181382,187193.20312065363,53906.121993276254,54699.05423306504,150492.69787013237,185133.99872733053,220863.77676192,379952.1089106401,7338.73015691068,3296.4380922763817,1845.713822724122,5140.449761133482,6529.109342607058,8856.048169740916,27994.321232622744
282530.35814394127,61986.708038033226,116112.74475535788,210172.8201586851,278806.40051496204,357375.8515892556,812683.5078959438,78.80236871912103,33.51979484548648,22.258088575618743,42.58552263772384,71.8817748522638,123.85618236257288,350.07143387635875,166.3638382364527,42.68117069394271,70.51672306202059,118.10520896206448,162.39223183337293,220.56115112842625,538.7048441169251,0.0,0.0,0.0,111.51235587747396,1198.9969336315382,0.0,0.0,0.0,0.0,35407.549185672135,90402.34450940714,30998.709516206985,44377.58879998247,73045.76539660686,86360.4694130586,101427.7708912899,614307.6590435021,184129.33112888847,52911.013666481456,43707.841288331845,149004.3390801042,181716.27940420865,219465.33307083175,449031.46387004666,7887.170149768153,3497.1004663258987,2434.283861483908,5481.627656417918,7281.090652450717,9456.09522110312,44097.33082467021
19440000.0,0.0,19440000.0,19440000.0,19440000.0,19440000.0,19440000.0,11826.0,0.0,11826.0,11826.0,11826.0,11826.0,11826.0,11826.0,0.0,11826.0,11826.0,11826.0,11826.0,11826.0,0.144,0.856,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
