Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
99, H1,8163,0.02,51.0381, -,21.3,33.1,0," ""El Mayor-Cucapah_ Mexico""",2010," ""SANTA ISABEL VIEJO""",7.2, strike slip,55.19,57.49,483.02,0.0875,52.1074, RSN8163_SIERRA.MEX_SIV000.AT2, RSN8163_SIERRA.MEX_SIV090.AT2 , RSN8163_SIERRA.MEX_SIV--V.AT2  
100, H1,8597,0.0478,18.9937, -,9.6,29.7,0.1," ""El Mayor-Cucapah_ Mexico""",2010," ""Sam W. Stewart""",7.2, strike slip,31.79,32.22,503,0.025,19.3916, RSN8597_SIERRA.MEX_CISWSHNN.AT2, RSN8597_SIERRA.MEX_CISWSHNE.AT2 , RSN8597_SIERRA.MEX_CISWSHNZ.AT2  
1, SRSS,15, -,1, -,10.7,30.3,0.6," ""Kern County""",1952," ""Taft Lincoln School""",7.36, Reverse,38.42,38.89,385.43,0.125,1, RSN15_KERN_TAF021.AT2, RSN15_KERN_TAF111.AT2 , RSN15_KERN_TAF-UP.AT2  
2, SRSS,65, -,1, -,4.1,7.2,0.1," ""San Fernando""",1971," ""Gormon - Oso Pump Plant""",6.61, Reverse,43.95,46.78,308.35,0.125,1, RSN65_SFERN_OPP000.AT2, RSN65_SFERN_OPP270.AT2 , RSN65_SFERN_OPP-UP.AT2  
3, SRSS,68, -,1, -,5.2,13.4,0.7," ""San Fernando""",1971," ""LA - Hollywood Stor FF""",6.61, Reverse,22.77,22.77,316.46,0.1,1, RSN68_SFERN_PEL090.AT2, RSN68_SFERN_PEL180.AT2 , RSN68_SFERN_PEL-UP.AT2  
4, SRSS,121, -,1, -,4.3,10.4,0," ""Friuli_ Italy-01""",1976," ""Barcis""",6.5, Reverse,49.13,49.38,496.46,0.15,1, RSN121_FRIULI.A_A-BCS000.AT2, RSN121_FRIULI.A_A-BCS270.AT2 , RSN121_FRIULI.A_A-BCS-UP.AT2  
6, SRSS,187, -,1, -,7.1,18.6,0.2," ""Imperial Valley-06""",1979," ""Parachute Test Site""",6.53, strike slip,12.69,12.69,348.69,0.0625,1, RSN187_IMPVALL.H_H-PTS225.AT2, RSN187_IMPVALL.H_H-PTS315.AT2 , RSN187_IMPVALL.H_H-PTS-UP.AT2  
1, SRSS,20, -,1, -,6.8,19.4,0.5," ""Northern Calif-03""",1954," ""Ferndale City Hall""",6.5, strike slip,26.72,27.02,219.31,0.125,1, RSN20_NCALIF.FH_H-FRN044.AT2, RSN20_NCALIF.FH_H-FRN314.AT2 , RSN20_NCALIF.FH_H-FRN-UP.AT2  
2, SRSS,36, -,1, -,25,49.3,0.2," ""Borrego Mtn""",1968," ""El Centro Array #9""",6.63, strike slip,45.12,45.66,213.44,0.1,1, RSN36_BORREGO_A-ELC180.AT2, RSN36_BORREGO_A-ELC270.AT2 , RSN36_BORREGO_A-ELC-UP.AT2  
3, SRSS,82, -,1, -,38.5,49.2,0," ""San Fernando""",1971," ""Port Hueneme""",6.61, Reverse,68.84,68.84,248.98,0.0625,1, RSN82_SFERN_PHN180.AT2, RSN82_SFERN_PHN270.AT2 , RSN82_SFERN_PHN-UP.AT2  
4, SRSS,122, -,1, -,10.5,19,0.1," ""Friuli_ Italy-01""",1976," ""Codroipo""",6.5, Reverse,33.32,33.4,249.28,0.125,1, RSN122_FRIULI.A_A-COD000.AT2, RSN122_FRIULI.A_A-COD270.AT2 , RSN122_FRIULI.A_A-COD-UP.AT2  
5, SRSS,575, -,1, -,11.3,19.4,0.6," ""Taiwan SMART1(45)""",1986," ""SMART1 M01""",7.3, Reverse,56.87,56.87,268.37,0.0625,1, RSN575_SMART1.45_45M01EW.AT2, RSN575_SMART1.45_45M01NS.AT2 , RSN575_SMART1.45_45M01DN.AT2  
6, SRSS,577, -,1, -,10.2,25.1,0.7," ""Taiwan SMART1(45)""",1986," ""SMART1 O01""",7.3, Reverse,57.9,57.9,267.67,0.1,1, RSN577_SMART1.45_45O01EW.AT2, RSN577_SMART1.45_45O01NS.AT2 , RSN577_SMART1.45_45O01DN.AT2  
7, SRSS,579, -,1, -,10.1,21.9,0.7," ""Taiwan SMART1(45)""",1986," ""SMART1 O04""",7.3, Reverse,55.18,55.18,288.24,0.1,1, RSN579_SMART1.45_45O04EW.AT2, RSN579_SMART1.45_45O04NS.AT2 , RSN579_SMART1.45_45O04DN.AT2  
1, SRSS,138, -,1, -,14.6,19.5,0.3," ""Tabas_ Iran""",1978," ""Boshrooyeh""",7.35, Reverse,24.07,28.79,324.57,0.15625,1, RSN138_TABAS_BOS-L1.AT2, RSN138_TABAS_BOS-T1.AT2 , RSN138_TABAS_BOS-V1.AT2  
2, SRSS,725, -,1, -,11.2,13.7,2.1," ""Superstition Hills-02""",1987," ""Poe Road (temp)""",6.54, strike slip,11.16,11.16,316.64,0.1625,1, RSN725_SUPER.B_B-POE270.AT2, RSN725_SUPER.B_B-POE360.AT2 ,  -----   
3, SRSS,821, -,1, -,2.1,8.4,1.8," ""Erzican_ Turkey""",1992," ""Erzincan""",6.69, strike slip,0,4.38,352.05,0.125,1, RSN821_ERZINCAN_ERZ-NS.AT2, RSN821_ERZINCAN_ERZ-EW.AT2 , RSN821_ERZINCAN_ERZ-UP.AT2  
4, SRSS,882, -,1, -,25.3,37.9,0.7," ""Landers""",1992," ""North Palm Springs""",7.28, strike slip,26.84,26.84,344.67,0.05,1, RSN882_LANDERS_FHS000.AT2, RSN882_LANDERS_FHS090.AT2 , RSN882_LANDERS_FHS-UP.AT2  
5, SRSS,1106, -,1,1.092,4.3,9.5,8.4," ""Kobe_ Japan""",1995," ""KJMA""",6.9, strike slip,0.94,0.96,312,0.0625,1, RSN1106_KOBE_KJM000.AT2, RSN1106_KOBE_KJM090.AT2 , RSN1106_KOBE_KJM-UP.AT2  
6, SRSS,1107, -,1, -,8.2,13.2,1.7," ""Kobe_ Japan""",1995," ""Kakogawa""",6.9, strike slip,22.5,22.5,312,0.125,1, RSN1107_KOBE_KAK000.AT2, RSN1107_KOBE_KAK090.AT2 , RSN1107_KOBE_KAK-UP.AT2  
7, SRSS,1615, -,1, -,13.6,16.1,1," ""Duzce_ Turkey""",1999," ""Lamont 1062""",7.14, strike slip,9.14,9.14,338,0.0625,1, RSN1615_DUZCE_1062-N.AT2, RSN1615_DUZCE_1062-E.AT2 , RSN1615_DUZCE_1062-V.AT2  
8, SRSS,3747, -,1, -,8.6,15.3,0.6," ""Cape Mendocino""",1992," ""College of the Redwoods""",7.01, Reverse,29.22,31.46,492.74,0.0625,1, RSN3747_CAPEMEND_CRW270.AT2, RSN3747_CAPEMEND_CRW360.AT2 , RSN3747_CAPEMEND_CRW-UP.AT2  
9, SRSS,3753, -,1, -,22.7,29.6,1.2," ""Landers""",1992," ""Fun Valley""",7.28, strike slip,25.02,25.02,388.63,0.0625,1, RSN3753_LANDERS_FVR045.AT2, RSN3753_LANDERS_FVR135.AT2 , RSN3753_LANDERS_FVR-UP.AT2  
10, SRSS,3979, -,1, -,7.8,13.2,0.4," ""San Simeon_ CA""",2003," ""Cambria - Hwy 1 Caltrans Bridge""",6.52, Reverse,6.97,7.25,362.42,0.1,1, RSN3979_SANSIMEO_37737090.AT2, RSN3979_SANSIMEO_37737360.AT2 , RSN3979_SANSIMEO_37737-UP.AT2  
11, SRSS,4040, -,1,2.023,5.6,9.6,8," ""Bam_ Iran""",2003," ""Bam""",6.6, strike slip,0.05,1.7,487.4,0.0625,1, RSN4040_BAM_BAM-L.AT2, RSN4040_BAM_BAM-T.AT2 , RSN4040_BAM_BAM-V.AT2  
1, SRSS,347, -,1, -,9.1,19.9,0.1," ""Coalinga-01""",1983," ""Parkfield - Fault Zone 9""",6.36, Reverse,30.43,31.71,372.26,0.15,1, RSN347_COALINGA.H_H-Z09000.AT2, RSN347_COALINGA.H_H-Z09090.AT2 , RSN347_COALINGA.H_H-Z09-UP.AT2  
2, SRSS,352, -,1, -,3.9,14.7,0.2," ""Coalinga-01""",1983," ""Parkfield - Gold Hill 3W""",6.36, Reverse,38.1,39.12,510.92,0.15,1, RSN352_COALINGA.H_H-PG3000.AT2, RSN352_COALINGA.H_H-PG3090.AT2 , RSN352_COALINGA.H_H-PG3-UP.AT2  
3, SRSS,357, -,1, -,5.4,12.2,0.1," ""Coalinga-01""",1983," ""Parkfield - Stone Corral 3E""",6.36, Reverse,32.81,34,565.08,0.15,1, RSN357_COALINGA.H_H-SC3000.AT2, RSN357_COALINGA.H_H-SC3090.AT2 , RSN357_COALINGA.H_H-SC3-UP.AT2  
4, SRSS,471, -,1, -,11.3,19.7,0.2," ""Morgan Hill""",1984," ""San Justo Dam (L Abut)""",6.19, strike slip,31.88,31.88,543.63,0.125,1, RSN471_MORGAN_SJL270.AT2, RSN471_MORGAN_SJL360.AT2 , RSN471_MORGAN_SJL-UP.AT2  
5, SRSS,522, -,1, -,9.7,18.5,0.2," ""N. Palm Springs""",1986," ""Indio""",6.06, Reverse Oblique,35.34,35.57,307.54,0.125,1, RSN522_PALMSPR_INO225.AT2, RSN522_PALMSPR_INO315.AT2 , RSN522_PALMSPR_INO-UP.AT2  
6, SRSS,523, -,1, -,13.3,28.7,0.1," ""N. Palm Springs""",1986," ""Indio - Coachella Canal""",6.06, Reverse Oblique,41.74,41.93,339.02,0.125,1, RSN523_PALMSPR_IND000.AT2, RSN523_PALMSPR_IND090.AT2 , RSN523_PALMSPR_IND-UP.AT2  
7, SRSS,817, -,1, -,8,12.8,0," ""Georgia_ USSR""",1991," ""Baz""",6.2, Reverse,42.11,42.18,476.62,0.125,1, RSN817_GEORGIA_BAZ--X.AT2, RSN817_GEORGIA_BAZ--Y.AT2 , RSN817_GEORGIA_BAZ--Z.AT2  
8, SRSS,818, -,1, -,3.9,7.7,0.1," ""Georgia_ USSR""",1991," ""Iri""",6.2, Reverse,31.38,31.47,437.72,0.1,1, RSN818_GEORGIA_IRI--X.AT2, RSN818_GEORGIA_IRI--Y.AT2 , RSN818_GEORGIA_IRI--Z.AT2  
9, SRSS,819, -,1, -,10.1,15.9,0," ""Georgia_ USSR""",1991," ""Oni""",6.2, Reverse,42.19,42.26,392.67,0.1375,1, RSN819_GEORGIA_ONI--X.AT2, RSN819_GEORGIA_ONI--Y.AT2 , RSN819_GEORGIA_ONI--Z.AT2  
10, SRSS,930, -,1, -,11.7,22,0.2," ""Big Bear-01""",1992," ""San Bernardino - 2nd & Arrowhead""",6.46, strike slip,33.56,33.79,325.83,0.16,1, RSN930_BIGBEAR_SB2270.AT2, RSN930_BIGBEAR_SB2360.AT2 , RSN930_BIGBEAR_SB2-UP.AT2  
